started_at_localtime,ended_at_localtime,experiment,pioreactor_unit,started_at,ended_at,automation_name,settings
2023-11-28 00:54:47,2023-11-28 00:54:47,Spirulina 003,pio001,2023-11-28T00:54:47.626883Z,2023-11-28T00:54:47.864953Z,turbidostat,eyJ2b2x1bWUiOm51bGwsInRhcmdldF9ub3JtYWxpemVkX29kIjpudWxsLCJkdXJhdGlvbiI6MC41fQ==
2023-11-28 00:54:47,2023-11-28 00:54:47,Spirulina 003,pio001,2023-11-28T00:54:47.865807Z,2023-11-28T00:54:47.914993Z,turbidostat,eyJ2b2x1bWUiOm51bGwsInRhcmdldF9ub3JtYWxpemVkX29kIjoxLjEsImR1cmF0aW9uIjowLjV9
2023-11-28 00:54:47,2023-11-28 00:54:47,Spirulina 003,pio001,2023-11-28T00:54:47.915928Z,2023-11-28T00:54:47.916722Z,turbidostat,eyJ2b2x1bWUiOjAuMSwidGFyZ2V0X25vcm1hbGl6ZWRfb2QiOjEuMSwiZHVyYXRpb24iOjAuNX0=
2023-11-28 00:54:47,2023-11-28 01:11:51,Spirulina 003,pio001,2023-11-28T00:54:47.917578Z,2023-11-28T01:11:51.213612Z,turbidostat,eyJ2b2x1bWUiOjAuMSwidGFyZ2V0X25vcm1hbGl6ZWRfb2QiOjEuMSwiZHVyYXRpb24iOjAuNX0=
2023-11-28 01:11:52,2023-11-28 01:11:53,Spirulina 003,pio001,2023-11-28T01:11:52.811144Z,2023-11-28T01:11:53.161762Z,turbidostat,eyJ2b2x1bWUiOm51bGwsInRhcmdldF9ub3JtYWxpemVkX29kIjpudWxsLCJkdXJhdGlvbiI6MC41fQ==
2023-11-28 01:11:53,2023-11-28 01:11:53,Spirulina 003,pio001,2023-11-28T01:11:53.162066Z,2023-11-28T01:11:53.249066Z,turbidostat,eyJ2b2x1bWUiOm51bGwsInRhcmdldF9ub3JtYWxpemVkX29kIjoxLjA1LCJkdXJhdGlvbiI6MC41fQ==
2023-11-28 01:11:53,2023-11-28 01:11:53,Spirulina 003,pio001,2023-11-28T01:11:53.249524Z,2023-11-28T01:11:53.251582Z,turbidostat,eyJ2b2x1bWUiOjAuMSwidGFyZ2V0X25vcm1hbGl6ZWRfb2QiOjEuMDUsImR1cmF0aW9uIjowLjV9
2023-11-28 01:11:53,2023-11-28 01:16:41,Spirulina 003,pio001,2023-11-28T01:11:53.251914Z,2023-11-28T01:16:41.473572Z,turbidostat,eyJ2b2x1bWUiOjAuMSwidGFyZ2V0X25vcm1hbGl6ZWRfb2QiOjEuMDUsImR1cmF0aW9uIjowLjV9
2023-11-28 01:16:42,2023-11-28 01:16:43,Spirulina 003,pio001,2023-11-28T01:16:42.820777Z,2023-11-28T01:16:43.027465Z,turbidostat,eyJ2b2x1bWUiOm51bGwsInRhcmdldF9ub3JtYWxpemVkX29kIjpudWxsLCJkdXJhdGlvbiI6MC41fQ==
2023-11-28 01:16:43,2023-11-28 01:16:43,Spirulina 003,pio001,2023-11-28T01:16:43.027770Z,2023-11-28T01:16:43.076783Z,turbidostat,eyJ2b2x1bWUiOm51bGwsInRhcmdldF9ub3JtYWxpemVkX29kIjoxLjAxLCJkdXJhdGlvbiI6MC41fQ==
2023-11-28 01:16:43,2023-11-28 01:16:43,Spirulina 003,pio001,2023-11-28T01:16:43.077099Z,2023-11-28T01:16:43.077326Z,turbidostat,eyJ2b2x1bWUiOjAuMSwidGFyZ2V0X25vcm1hbGl6ZWRfb2QiOjEuMDEsImR1cmF0aW9uIjowLjV9
2023-11-29 17:56:28,2023-11-29 17:56:28,Spirulina 003,pio001,2023-11-29T17:56:28.504708Z,2023-11-29T17:56:28.730913Z,turbidostat,eyJ2b2x1bWUiOm51bGwsInRhcmdldF9ub3JtYWxpemVkX29kIjpudWxsLCJkdXJhdGlvbiI6MC41fQ==
2023-11-29 17:56:28,2023-11-29 17:56:28,Spirulina 003,pio001,2023-11-29T17:56:28.731724Z,2023-11-29T17:56:28.795141Z,turbidostat,eyJ2b2x1bWUiOm51bGwsInRhcmdldF9ub3JtYWxpemVkX29kIjoxLjAxLCJkdXJhdGlvbiI6MC41fQ==
2023-11-29 17:56:28,2023-11-29 17:56:28,Spirulina 003,pio001,2023-11-29T17:56:28.795462Z,2023-11-29T17:56:28.795680Z,turbidostat,eyJ2b2x1bWUiOjAuMSwidGFyZ2V0X25vcm1hbGl6ZWRfb2QiOjEuMDEsImR1cmF0aW9uIjowLjV9
