timestamp_localtime,experiment,pioreactor_unit,timestamp,event_name,message,data
2023-11-28 00:26:58,Spirulina 003,pio001,2023-11-28T00:26:58.594741Z,ChangedLedIntensity,0.0min: turned on LEDs.,
2023-11-28 16:26:58,Spirulina 003,pio001,2023-11-28T16:26:58.544519Z,ChangedLedIntensity,960.0min: turned off LEDs.,
2023-11-28 20:15:04,Spirulina 003,pio001,2023-11-28T20:15:04.928040Z,ChangedLedIntensity,0.0min: turned on LEDs.,
2023-11-29 12:15:04,Spirulina 003,pio001,2023-11-29T12:15:04.928043Z,ChangedLedIntensity,960.0min: turned off LEDs.,
2023-11-29 17:56:44,Spirulina 003,pio001,2023-11-29T17:56:44.095056Z,ChangedLedIntensity,0.0min: turned on LEDs.,
2023-11-30 09:56:44,Spirulina 003,pio001,2023-11-30T09:56:44.036435Z,ChangedLedIntensity,960.0min: turned off LEDs.,
2023-11-30 17:56:44,Spirulina 003,pio001,2023-11-30T17:56:44.035618Z,ChangedLedIntensity,1440.0min: turned on LEDs.,
2023-12-01 09:56:44,Spirulina 003,pio001,2023-12-01T09:56:44.035329Z,ChangedLedIntensity,2400.0min: turned off LEDs.,
2023-12-01 17:56:44,Spirulina 003,pio001,2023-12-01T17:56:44.034592Z,ChangedLedIntensity,2880.0min: turned on LEDs.,
2023-12-02 09:56:44,Spirulina 003,pio001,2023-12-02T09:56:44.035472Z,ChangedLedIntensity,3840.0min: turned off LEDs.,
2023-12-02 17:56:44,Spirulina 003,pio001,2023-12-02T17:56:44.034731Z,ChangedLedIntensity,4320.0min: turned on LEDs.,
2023-12-03 09:56:44,Spirulina 003,pio001,2023-12-03T09:56:44.035837Z,ChangedLedIntensity,5280.0min: turned off LEDs.,
2023-12-03 17:56:44,Spirulina 003,pio001,2023-12-03T17:56:44.035708Z,ChangedLedIntensity,5760.0min: turned on LEDs.,
2023-12-04 09:56:44,Spirulina 003,pio001,2023-12-04T09:56:44.038515Z,ChangedLedIntensity,6720.0min: turned off LEDs.,
2023-12-04 17:56:44,Spirulina 003,pio001,2023-12-04T17:56:44.036208Z,ChangedLedIntensity,7200.0min: turned on LEDs.,
2023-12-05 09:56:44,Spirulina 003,pio001,2023-12-05T09:56:44.035658Z,ChangedLedIntensity,8160.0min: turned off LEDs.,
2023-12-05 17:56:44,Spirulina 003,pio001,2023-12-05T17:56:44.037640Z,ChangedLedIntensity,8640.0min: turned on LEDs.,
2023-12-06 09:56:44,Spirulina 003,pio001,2023-12-06T09:56:44.036670Z,ChangedLedIntensity,9600.0min: turned off LEDs.,
2023-12-06 17:56:44,Spirulina 003,pio001,2023-12-06T17:56:44.033902Z,ChangedLedIntensity,10080.0min: turned on LEDs.,
2023-12-07 09:56:44,Spirulina 003,pio001,2023-12-07T09:56:44.041150Z,ChangedLedIntensity,11040.0min: turned off LEDs.,
2023-12-07 17:56:44,Spirulina 003,pio001,2023-12-07T17:56:44.039155Z,ChangedLedIntensity,11520.0min: turned on LEDs.,
2023-12-08 09:56:44,Spirulina 003,pio001,2023-12-08T09:56:44.037445Z,ChangedLedIntensity,12480.0min: turned off LEDs.,
2023-12-08 17:56:44,Spirulina 003,pio001,2023-12-08T17:56:44.034723Z,ChangedLedIntensity,12960.0min: turned on LEDs.,
2023-12-09 09:56:44,Spirulina 003,pio001,2023-12-09T09:56:44.034161Z,ChangedLedIntensity,13920.0min: turned off LEDs.,
2023-12-09 17:56:44,Spirulina 003,pio001,2023-12-09T17:56:44.040041Z,ChangedLedIntensity,14400.0min: turned on LEDs.,
2023-12-10 09:56:44,Spirulina 003,pio001,2023-12-10T09:56:44.038565Z,ChangedLedIntensity,15360.0min: turned off LEDs.,
2023-12-10 17:56:44,Spirulina 003,pio001,2023-12-10T17:56:44.037931Z,ChangedLedIntensity,15840.0min: turned on LEDs.,
2023-12-11 09:56:44,Spirulina 003,pio001,2023-12-11T09:56:44.034985Z,ChangedLedIntensity,16800.0min: turned off LEDs.,
2023-12-11 17:56:44,Spirulina 003,pio001,2023-12-11T17:56:44.037549Z,ChangedLedIntensity,17280.0min: turned on LEDs.,
2023-12-12 09:56:44,Spirulina 003,pio001,2023-12-12T09:56:44.032896Z,ChangedLedIntensity,18240.0min: turned off LEDs.,
2023-12-12 17:56:44,Spirulina 003,pio001,2023-12-12T17:56:44.036644Z,ChangedLedIntensity,18720.0min: turned on LEDs.,
2023-12-13 09:56:44,Spirulina 003,pio001,2023-12-13T09:56:44.036581Z,ChangedLedIntensity,19680.0min: turned off LEDs.,
2023-12-13 17:56:44,Spirulina 003,pio001,2023-12-13T17:56:44.034789Z,ChangedLedIntensity,20160.0min: turned on LEDs.,
2023-12-14 09:56:44,Spirulina 003,pio001,2023-12-14T09:56:44.031674Z,ChangedLedIntensity,21120.0min: turned off LEDs.,
2023-12-14 17:56:44,Spirulina 003,pio001,2023-12-14T17:56:44.036391Z,ChangedLedIntensity,21600.0min: turned on LEDs.,
2023-12-15 09:56:44,Spirulina 003,pio001,2023-12-15T09:56:44.036108Z,ChangedLedIntensity,22560.0min: turned off LEDs.,
2023-12-15 17:56:44,Spirulina 003,pio001,2023-12-15T17:56:44.037484Z,ChangedLedIntensity,23040.0min: turned on LEDs.,
2023-12-16 09:56:44,Spirulina 003,pio001,2023-12-16T09:56:44.036327Z,ChangedLedIntensity,24000.0min: turned off LEDs.,
2023-12-16 17:56:44,Spirulina 003,pio001,2023-12-16T17:56:44.034956Z,ChangedLedIntensity,24480.0min: turned on LEDs.,
2023-12-17 09:56:44,Spirulina 003,pio001,2023-12-17T09:56:44.041055Z,ChangedLedIntensity,25440.0min: turned off LEDs.,
2023-12-17 17:56:44,Spirulina 003,pio001,2023-12-17T17:56:44.035351Z,ChangedLedIntensity,25920.0min: turned on LEDs.,
2023-12-18 09:56:44,Spirulina 003,pio001,2023-12-18T09:56:44.038528Z,ChangedLedIntensity,26880.0min: turned off LEDs.,
2023-12-18 17:56:44,Spirulina 003,pio001,2023-12-18T17:56:44.038021Z,ChangedLedIntensity,27360.0min: turned on LEDs.,
