started_at_localtime,ended_at_localtime,experiment,pioreactor_unit,started_at,ended_at,automation_name,settings
2023-11-28 00:26:56,2023-11-28 00:26:56,Spirulina 003,pio001,2023-11-28T00:26:56.429515Z,2023-11-28T00:26:56.429800Z,light_dark_cycle,eyJkdXJhdGlvbiI6MS4wLCJsaWdodF9pbnRlbnNpdHkiOm51bGwsImxpZ2h0X2R1cmF0aW9uX21pbnV0ZXMiOm51bGwsImRhcmtfZHVyYXRpb25fbWludXRlcyI6bnVsbH0=
2023-11-28 00:26:56,2023-11-28 00:26:56,Spirulina 003,pio001,2023-11-28T00:26:56.430117Z,2023-11-28T00:26:56.434551Z,light_dark_cycle,eyJkdXJhdGlvbiI6MS4wLCJsaWdodF9pbnRlbnNpdHkiOjUwLjAsImxpZ2h0X2R1cmF0aW9uX21pbnV0ZXMiOm51bGwsImRhcmtfZHVyYXRpb25fbWludXRlcyI6bnVsbH0=
2023-11-28 00:26:56,2023-11-28 00:26:56,Spirulina 003,pio001,2023-11-28T00:26:56.434846Z,2023-11-28T00:26:56.435058Z,light_dark_cycle,eyJkdXJhdGlvbiI6MS4wLCJsaWdodF9pbnRlbnNpdHkiOjUwLjAsImxpZ2h0X2R1cmF0aW9uX21pbnV0ZXMiOjk2MC4wLCJkYXJrX2R1cmF0aW9uX21pbnV0ZXMiOm51bGx9
2023-11-28 00:26:56,2023-11-28 00:26:56,Spirulina 003,pio001,2023-11-28T00:26:56.435328Z,2023-11-28T00:26:56.435532Z,light_dark_cycle,eyJkdXJhdGlvbiI6MS4wLCJsaWdodF9pbnRlbnNpdHkiOjUwLjAsImxpZ2h0X2R1cmF0aW9uX21pbnV0ZXMiOjk2MC4wLCJkYXJrX2R1cmF0aW9uX21pbnV0ZXMiOjQ4MC4wfQ==
2023-11-28 00:26:56,2023-11-28 20:15:00,Spirulina 003,pio001,2023-11-28T00:26:56.435760Z,2023-11-28T20:15:00.341508Z,light_dark_cycle,eyJkdXJhdGlvbiI6MS4wLCJsaWdodF9pbnRlbnNpdHkiOjUwLjAsImxpZ2h0X2R1cmF0aW9uX21pbnV0ZXMiOjk2MC4wLCJkYXJrX2R1cmF0aW9uX21pbnV0ZXMiOjQ4MC4wfQ==
2023-11-28 20:15:02,2023-11-28 20:15:02,Spirulina 003,pio001,2023-11-28T20:15:02.819602Z,2023-11-28T20:15:02.819877Z,light_dark_cycle,eyJkdXJhdGlvbiI6MS4wLCJsaWdodF9pbnRlbnNpdHkiOm51bGwsImxpZ2h0X2R1cmF0aW9uX21pbnV0ZXMiOm51bGwsImRhcmtfZHVyYXRpb25fbWludXRlcyI6bnVsbH0=
2023-11-28 20:15:02,2023-11-28 20:15:02,Spirulina 003,pio001,2023-11-28T20:15:02.820141Z,2023-11-28T20:15:02.823467Z,light_dark_cycle,eyJkdXJhdGlvbiI6MS4wLCJsaWdodF9pbnRlbnNpdHkiOjc1LjAsImxpZ2h0X2R1cmF0aW9uX21pbnV0ZXMiOm51bGwsImRhcmtfZHVyYXRpb25fbWludXRlcyI6bnVsbH0=
2023-11-28 20:15:02,2023-11-28 20:15:02,Spirulina 003,pio001,2023-11-28T20:15:02.823758Z,2023-11-28T20:15:02.823988Z,light_dark_cycle,eyJkdXJhdGlvbiI6MS4wLCJsaWdodF9pbnRlbnNpdHkiOjc1LjAsImxpZ2h0X2R1cmF0aW9uX21pbnV0ZXMiOjk2MC4wLCJkYXJrX2R1cmF0aW9uX21pbnV0ZXMiOm51bGx9
2023-11-28 20:15:02,2023-11-28 20:15:02,Spirulina 003,pio001,2023-11-28T20:15:02.824230Z,2023-11-28T20:15:02.824435Z,light_dark_cycle,eyJkdXJhdGlvbiI6MS4wLCJsaWdodF9pbnRlbnNpdHkiOjc1LjAsImxpZ2h0X2R1cmF0aW9uX21pbnV0ZXMiOjk2MC4wLCJkYXJrX2R1cmF0aW9uX21pbnV0ZXMiOjQ4MC4wfQ==
2023-11-29 17:56:41,2023-11-29 17:56:41,Spirulina 003,pio001,2023-11-29T17:56:41.925406Z,2023-11-29T17:56:41.925734Z,light_dark_cycle,eyJkdXJhdGlvbiI6MS4wLCJsaWdodF9pbnRlbnNpdHkiOm51bGwsImxpZ2h0X2R1cmF0aW9uX21pbnV0ZXMiOm51bGwsImRhcmtfZHVyYXRpb25fbWludXRlcyI6bnVsbH0=
2023-11-29 17:56:41,2023-11-29 17:56:41,Spirulina 003,pio001,2023-11-29T17:56:41.926164Z,2023-11-29T17:56:41.928137Z,light_dark_cycle,eyJkdXJhdGlvbiI6MS4wLCJsaWdodF9pbnRlbnNpdHkiOjc1LjAsImxpZ2h0X2R1cmF0aW9uX21pbnV0ZXMiOm51bGwsImRhcmtfZHVyYXRpb25fbWludXRlcyI6bnVsbH0=
