timestamp_localtime,experiment,pioreactor_unit,timestamp,event_name,message,data
2023-11-28 00:26:39,Spirulina 003,pio001,2023-11-28T00:26:39.942531Z,UpdatedHeaterDC,delta_dc=5.0625,"{""current_dc"": 5.06, ""delta_dc"": 5.0625}"
2023-11-28 00:30:33,Spirulina 003,pio001,2023-11-28T00:30:33.195773Z,UpdatedHeaterDC,delta_dc=16.106250000000003,"{""current_dc"": 21.17, ""delta_dc"": 16.106250000000003}"
2023-11-28 00:34:17,Spirulina 003,pio001,2023-11-28T00:34:17.825990Z,UpdatedHeaterDC,delta_dc=10.230000000000011,"{""current_dc"": 31.4, ""delta_dc"": 10.230000000000011}"
2023-11-28 00:38:02,Spirulina 003,pio001,2023-11-28T00:38:02.805135Z,UpdatedHeaterDC,delta_dc=7.905000000000005,"{""current_dc"": 39.31, ""delta_dc"": 7.905000000000005}"
2023-11-28 00:41:47,Spirulina 003,pio001,2023-11-28T00:41:47.802594Z,UpdatedHeaterDC,delta_dc=5.504999999999987,"{""current_dc"": 44.81, ""delta_dc"": 5.504999999999987}"
2023-11-28 00:45:32,Spirulina 003,pio001,2023-11-28T00:45:32.804713Z,UpdatedHeaterDC,delta_dc=3.570000000000004,"{""current_dc"": 48.38, ""delta_dc"": 3.570000000000004}"
2023-11-28 00:49:17,Spirulina 003,pio001,2023-11-28T00:49:17.795530Z,UpdatedHeaterDC,delta_dc=2.100000000000003,"{""current_dc"": 50.48, ""delta_dc"": 2.100000000000003}"
2023-11-28 00:53:02,Spirulina 003,pio001,2023-11-28T00:53:02.807941Z,UpdatedHeaterDC,delta_dc=0.8399999999999981,"{""current_dc"": 51.32, ""delta_dc"": 0.8399999999999981}"
2023-11-28 00:56:47,Spirulina 003,pio001,2023-11-28T00:56:47.799142Z,UpdatedHeaterDC,delta_dc=1.0658141036401503e-14,"{""current_dc"": 51.32, ""delta_dc"": 1.0658141036401503e-14}"
2023-11-28 01:00:32,Spirulina 003,pio001,2023-11-28T01:00:32.807430Z,UpdatedHeaterDC,delta_dc=-0.4500000000000277,"{""current_dc"": 50.87, ""delta_dc"": -0.4500000000000277}"
2023-11-28 01:04:17,Spirulina 003,pio001,2023-11-28T01:04:17.807641Z,UpdatedHeaterDC,delta_dc=-0.8249999999999851,"{""current_dc"": 50.05, ""delta_dc"": -0.8249999999999851}"
2023-11-28 01:08:02,Spirulina 003,pio001,2023-11-28T01:08:02.800306Z,UpdatedHeaterDC,delta_dc=-1.3650000000000055,"{""current_dc"": 48.68, ""delta_dc"": -1.3650000000000055}"
2023-11-28 01:11:47,Spirulina 003,pio001,2023-11-28T01:11:47.831583Z,UpdatedHeaterDC,delta_dc=-0.5699999999999719,"{""current_dc"": 48.11, ""delta_dc"": -0.5699999999999719}"
2023-11-28 01:15:32,Spirulina 003,pio001,2023-11-28T01:15:32.808559Z,UpdatedHeaterDC,delta_dc=-1.529999999999994,"{""current_dc"": 46.58, ""delta_dc"": -1.529999999999994}"
2023-11-28 01:19:17,Spirulina 003,pio001,2023-11-28T01:19:17.822719Z,UpdatedHeaterDC,delta_dc=-0.5999999999999979,"{""current_dc"": 45.98, ""delta_dc"": -0.5999999999999979}"
2023-11-28 01:23:02,Spirulina 003,pio001,2023-11-28T01:23:02.808396Z,UpdatedHeaterDC,delta_dc=-0.8550000000000324,"{""current_dc"": 45.12, ""delta_dc"": -0.8550000000000324}"
