timestamp_localtime,experiment,pioreactor_unit,timestamp,temperature_c
2023-11-28 00:26:39,Spirulina 003,pio001,2023-11-28T00:26:39.859047Z,30.8125
2023-11-28 00:30:33,Spirulina 003,pio001,2023-11-28T00:30:33.133212Z,29.34
2023-11-28 00:34:17,Spirulina 003,pio001,2023-11-28T00:34:17.767957Z,29.24
2023-11-28 00:38:02,Spirulina 003,pio001,2023-11-28T00:38:02.748305Z,29.49
2023-11-28 00:41:47,Spirulina 003,pio001,2023-11-28T00:41:47.746354Z,29.96
2023-11-28 00:45:32,Spirulina 003,pio001,2023-11-28T00:45:32.748548Z,30.5
2023-11-28 00:49:17,Spirulina 003,pio001,2023-11-28T00:49:17.739177Z,31.02
2023-11-28 00:53:02,Spirulina 003,pio001,2023-11-28T00:53:02.748207Z,31.5
2023-11-28 00:56:47,Spirulina 003,pio001,2023-11-28T00:56:47.742917Z,31.9
2023-11-28 01:00:32,Spirulina 003,pio001,2023-11-28T01:00:32.752301Z,32.2
2023-11-28 01:04:17,Spirulina 003,pio001,2023-11-28T01:04:17.750665Z,32.43
2023-11-28 01:08:02,Spirulina 003,pio001,2023-11-28T01:08:02.739905Z,32.64
2023-11-28 01:11:47,Spirulina 003,pio001,2023-11-28T01:11:47.769466Z,32.66
2023-11-28 01:15:32,Spirulina 003,pio001,2023-11-28T01:15:32.747871Z,32.8
2023-11-28 01:19:17,Spirulina 003,pio001,2023-11-28T01:19:17.766029Z,32.76
2023-11-28 01:23:02,Spirulina 003,pio001,2023-11-28T01:23:02.751427Z,32.77
2023-11-28 01:26:47,Spirulina 003,pio001,2023-11-28T01:26:47.748698Z,32.72
2023-11-28 01:30:32,Spirulina 003,pio001,2023-11-28T01:30:32.738282Z,32.71
2023-11-28 01:34:17,Spirulina 003,pio001,2023-11-28T01:34:17.783845Z,32.58
2023-11-28 01:38:02,Spirulina 003,pio001,2023-11-28T01:38:02.738619Z,32.52
2023-11-28 01:41:47,Spirulina 003,pio001,2023-11-28T01:41:47.747893Z,32.4
2023-11-28 01:45:32,Spirulina 003,pio001,2023-11-28T01:45:32.734695Z,32.38
2023-11-28 01:49:17,Spirulina 003,pio001,2023-11-28T01:49:17.744258Z,32.28
2023-11-28 01:53:02,Spirulina 003,pio001,2023-11-28T01:53:02.742280Z,32.27
2023-11-28 01:56:47,Spirulina 003,pio001,2023-11-28T01:56:47.753459Z,32.22
2023-11-28 02:00:32,Spirulina 003,pio001,2023-11-28T02:00:32.751602Z,32.17
2023-11-28 02:04:17,Spirulina 003,pio001,2023-11-28T02:04:17.743396Z,32.2
2023-11-28 02:08:02,Spirulina 003,pio001,2023-11-28T02:08:02.739512Z,32.25
2023-11-28 02:11:47,Spirulina 003,pio001,2023-11-28T02:11:47.749771Z,32.26
2023-11-28 02:15:32,Spirulina 003,pio001,2023-11-28T02:15:32.740118Z,32.24
2023-11-28 02:19:17,Spirulina 003,pio001,2023-11-28T02:19:17.743192Z,32.31
2023-11-28 02:23:02,Spirulina 003,pio001,2023-11-28T02:23:02.757319Z,32.33
2023-11-28 02:26:47,Spirulina 003,pio001,2023-11-28T02:26:47.744879Z,32.38
2023-11-28 02:30:32,Spirulina 003,pio001,2023-11-28T02:30:32.754060Z,32.4
2023-11-28 02:34:17,Spirulina 003,pio001,2023-11-28T02:34:17.756602Z,32.42
2023-11-28 02:38:02,Spirulina 003,pio001,2023-11-28T02:38:02.741699Z,32.42
2023-11-28 02:41:47,Spirulina 003,pio001,2023-11-28T02:41:47.741836Z,32.44
2023-11-28 02:45:32,Spirulina 003,pio001,2023-11-28T02:45:32.746421Z,32.38
2023-11-28 02:49:17,Spirulina 003,pio001,2023-11-28T02:49:17.739543Z,32.42
2023-11-28 02:53:02,Spirulina 003,pio001,2023-11-28T02:53:02.741013Z,32.43
2023-11-28 02:56:47,Spirulina 003,pio001,2023-11-28T02:56:47.738346Z,32.4
2023-11-28 03:00:32,Spirulina 003,pio001,2023-11-28T03:00:32.744120Z,32.46
2023-11-28 03:04:17,Spirulina 003,pio001,2023-11-28T03:04:17.739495Z,32.43
2023-11-28 03:08:02,Spirulina 003,pio001,2023-11-28T03:08:02.756480Z,32.41
2023-11-28 03:11:47,Spirulina 003,pio001,2023-11-28T03:11:47.756269Z,32.41
2023-11-28 03:15:32,Spirulina 003,pio001,2023-11-28T03:15:32.757083Z,32.39
2023-11-28 03:19:17,Spirulina 003,pio001,2023-11-28T03:19:17.743848Z,32.45
2023-11-28 03:23:02,Spirulina 003,pio001,2023-11-28T03:23:02.748849Z,32.41
2023-11-28 03:26:47,Spirulina 003,pio001,2023-11-28T03:26:47.743533Z,32.44
2023-11-28 03:30:32,Spirulina 003,pio001,2023-11-28T03:30:32.757155Z,32.46
2023-11-28 03:34:17,Spirulina 003,pio001,2023-11-28T03:34:17.741336Z,32.42
2023-11-28 03:38:02,Spirulina 003,pio001,2023-11-28T03:38:02.753643Z,32.48
2023-11-28 03:41:47,Spirulina 003,pio001,2023-11-28T03:41:47.742816Z,32.45
2023-11-28 03:45:32,Spirulina 003,pio001,2023-11-28T03:45:32.755989Z,32.46
2023-11-28 03:49:17,Spirulina 003,pio001,2023-11-28T03:49:17.743518Z,32.46
2023-11-28 03:53:02,Spirulina 003,pio001,2023-11-28T03:53:02.742101Z,32.43
2023-11-28 03:56:47,Spirulina 003,pio001,2023-11-28T03:56:47.744831Z,32.45
2023-11-28 04:00:32,Spirulina 003,pio001,2023-11-28T04:00:32.742667Z,32.44
2023-11-28 04:04:17,Spirulina 003,pio001,2023-11-28T04:04:17.752636Z,32.45
2023-11-28 04:08:02,Spirulina 003,pio001,2023-11-28T04:08:02.737791Z,32.5
2023-11-28 04:11:47,Spirulina 003,pio001,2023-11-28T04:11:47.739686Z,32.44
2023-11-28 04:15:32,Spirulina 003,pio001,2023-11-28T04:15:32.745555Z,32.49
2023-11-28 04:19:17,Spirulina 003,pio001,2023-11-28T04:19:17.743500Z,32.46
2023-11-28 04:23:02,Spirulina 003,pio001,2023-11-28T04:23:02.744843Z,32.36
2023-11-28 04:26:47,Spirulina 003,pio001,2023-11-28T04:26:47.740792Z,32.42
2023-11-28 04:30:32,Spirulina 003,pio001,2023-11-28T04:30:32.759091Z,32.42
2023-11-28 04:34:17,Spirulina 003,pio001,2023-11-28T04:34:17.748728Z,32.44
2023-11-28 04:38:02,Spirulina 003,pio001,2023-11-28T04:38:02.743758Z,32.47
2023-11-28 04:41:47,Spirulina 003,pio001,2023-11-28T04:41:47.738016Z,32.48
2023-11-28 04:45:32,Spirulina 003,pio001,2023-11-28T04:45:32.757723Z,32.47
2023-11-28 04:49:17,Spirulina 003,pio001,2023-11-28T04:49:17.757186Z,32.49
2023-11-28 04:53:02,Spirulina 003,pio001,2023-11-28T04:53:02.754459Z,32.47
2023-11-28 04:56:47,Spirulina 003,pio001,2023-11-28T04:56:47.741185Z,32.48
2023-11-28 05:00:32,Spirulina 003,pio001,2023-11-28T05:00:32.759140Z,32.48
2023-11-28 05:04:17,Spirulina 003,pio001,2023-11-28T05:04:17.752623Z,32.45
2023-11-28 05:08:02,Spirulina 003,pio001,2023-11-28T05:08:02.741431Z,32.48
2023-11-28 05:11:47,Spirulina 003,pio001,2023-11-28T05:11:47.741891Z,32.47
2023-11-28 05:15:32,Spirulina 003,pio001,2023-11-28T05:15:32.742220Z,32.48
2023-11-28 05:19:17,Spirulina 003,pio001,2023-11-28T05:19:17.742599Z,32.47
2023-11-28 05:23:02,Spirulina 003,pio001,2023-11-28T05:23:02.742228Z,32.45
2023-11-28 05:26:47,Spirulina 003,pio001,2023-11-28T05:26:47.749663Z,32.47
