timestamp_localtime,experiment,pioreactor_unit,timestamp,event_name,message,data
2023-11-28 01:50:25,Spirulina 003,pio001,2023-11-28T01:50:25.477872Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101127364744749, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 01:56:25,Spirulina 003,pio001,2023-11-28T01:56:25.374457Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.010396050623505, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 01:59:25,Spirulina 003,pio001,2023-11-28T01:59:25.365457Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100258902845594, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 02:13:55,Spirulina 003,pio001,2023-11-28T02:13:55.434348Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101771677399385, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 02:43:55,Spirulina 003,pio001,2023-11-28T02:43:55.353475Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101666728349514, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 03:05:55,Spirulina 003,pio001,2023-11-28T03:05:55.380102Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100788478324443, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 03:52:25,Spirulina 003,pio001,2023-11-28T03:52:25.393275Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101274466250203, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 04:20:55,Spirulina 003,pio001,2023-11-28T04:20:55.397768Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.010157721686166, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 07:10:25,Spirulina 003,pio001,2023-11-28T07:10:25.383087Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101258214786772, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 09:43:55,Spirulina 003,pio001,2023-11-28T09:43:55.374383Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100582249741494, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 09:50:25,Spirulina 003,pio001,2023-11-28T09:50:25.307130Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.010243930083164, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 10:33:25,Spirulina 003,pio001,2023-11-28T10:33:25.441433Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100620834270524, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 10:46:55,Spirulina 003,pio001,2023-11-28T10:46:55.349244Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100620404457563, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 11:05:55,Spirulina 003,pio001,2023-11-28T11:05:55.407939Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100774154458283, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 12:47:25,Spirulina 003,pio001,2023-11-28T12:47:25.379988Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0102682436456658, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 13:21:55,Spirulina 003,pio001,2023-11-28T13:21:55.398417Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101804164674437, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 13:54:25,Spirulina 003,pio001,2023-11-28T13:54:25.373787Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100294113081516, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 14:24:55,Spirulina 003,pio001,2023-11-28T14:24:55.373325Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100417729141271, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 14:41:55,Spirulina 003,pio001,2023-11-28T14:41:55.365666Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100890502125863, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 15:22:55,Spirulina 003,pio001,2023-11-28T15:22:55.366803Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0102182778984006, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 16:49:55,Spirulina 003,pio001,2023-11-28T16:49:55.441854Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101246565216597, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 17:03:25,Spirulina 003,pio001,2023-11-28T17:03:25.400447Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0102393765386586, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 21:50:55,Spirulina 003,pio001,2023-11-28T21:50:55.407590Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.010062176721605, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 22:19:55,Spirulina 003,pio001,2023-11-28T22:19:55.419841Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101704714674178, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 23:25:25,Spirulina 003,pio001,2023-11-28T23:25:25.393754Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100699154134933, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-28 23:50:25,Spirulina 003,pio001,2023-11-28T23:50:25.512044Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100888469744027, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 00:07:55,Spirulina 003,pio001,2023-11-29T00:07:55.408122Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101237025772019, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 00:35:55,Spirulina 003,pio001,2023-11-29T00:35:55.381149Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100803222582286, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 01:16:25,Spirulina 003,pio001,2023-11-29T01:16:25.380106Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101792950501784, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 04:49:55,Spirulina 003,pio001,2023-11-29T04:49:55.380914Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100047317902587, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 05:07:25,Spirulina 003,pio001,2023-11-29T05:07:25.519479Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100691438016587, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 05:23:55,Spirulina 003,pio001,2023-11-29T05:23:55.395341Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100331098214965, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 06:12:55,Spirulina 003,pio001,2023-11-29T06:12:55.412440Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100325263519154, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 06:31:25,Spirulina 003,pio001,2023-11-29T06:31:25.289872Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.010311332754768, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 08:50:55,Spirulina 003,pio001,2023-11-29T08:50:55.428449Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100829672741458, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 10:48:25,Spirulina 003,pio001,2023-11-29T10:48:25.391444Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101010042308571, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 11:24:25,Spirulina 003,pio001,2023-11-29T11:24:25.478240Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100561956560228, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 20:28:11,Spirulina 003,pio001,2023-11-29T20:28:11.561472Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0102320570432497, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 20:28:41,Spirulina 003,pio001,2023-11-29T20:28:41.011051Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0145211904146014, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 20:44:41,Spirulina 003,pio001,2023-11-29T20:44:41.119038Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0102282335451775, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 20:54:11,Spirulina 003,pio001,2023-11-29T20:54:11.120482Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101667089955402, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 21:13:41,Spirulina 003,pio001,2023-11-29T21:13:41.102101Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100616109677547, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 21:20:41,Spirulina 003,pio001,2023-11-29T21:20:41.092723Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0102005359387385, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 21:51:11,Spirulina 003,pio001,2023-11-29T21:51:11.110071Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100209608087385, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 22:11:41,Spirulina 003,pio001,2023-11-29T22:11:41.224620Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0102355405883117, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 22:54:11,Spirulina 003,pio001,2023-11-29T22:54:11.109507Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0103939227846968, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 23:27:11,Spirulina 003,pio001,2023-11-29T23:27:11.114958Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100888196546913, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-29 23:27:41,Spirulina 003,pio001,2023-11-29T23:27:41.134715Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0138726096246466, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-30 00:37:41,Spirulina 003,pio001,2023-11-30T00:37:41.123973Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100682911377197, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-30 01:05:11,Spirulina 003,pio001,2023-11-30T01:05:11.098743Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100679372585686, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-30 03:22:11,Spirulina 003,pio001,2023-11-30T03:22:11.166271Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0102574997161653, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-30 04:04:11,Spirulina 003,pio001,2023-11-30T04:04:11.177606Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0102653692981864, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-30 04:34:41,Spirulina 003,pio001,2023-11-30T04:34:41.145295Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.010764165834738, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-30 04:35:10,Spirulina 003,pio001,2023-11-30T04:35:10.991203Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0133568703267852, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-30 08:58:11,Spirulina 003,pio001,2023-11-30T08:58:11.168961Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.010219557443468, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-30 08:58:41,Spirulina 003,pio001,2023-11-30T08:58:41.159942Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0102141005301082, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-30 23:00:41,Spirulina 003,pio001,2023-11-30T23:00:41.094797Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100005304678659, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-11-30 23:21:41,Spirulina 003,pio001,2023-11-30T23:21:41.203259Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0102046589501077, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-12-01 00:29:11,Spirulina 003,pio001,2023-12-01T00:29:11.106401Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0101372403338114, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-12-01 00:48:41,Spirulina 003,pio001,2023-12-01T00:48:41.108689Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100146014168438, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
2023-12-01 01:12:11,Spirulina 003,pio001,2023-12-01T01:12:11.096518Z,DilutionEvent,Latest Normalized OD = 1.01 ≥ Target  nOD = 1.01; cycled 0.10 mL,"{""latest_normalized_od"": 1.0100559114182084, ""target_normalized_od"": 1.01, ""volume"": 0.1}"
