timestamp_localtime,experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event
2023-11-28 01:50:15,Spirulina 003,pio001,2023-11-28T01:50:15.343053Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 01:50:21,Spirulina 003,pio001,2023-11-28T01:50:21.603863Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 01:50:23,Spirulina 003,pio001,2023-11-28T01:50:23.118511Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 01:56:15,Spirulina 003,pio001,2023-11-28T01:56:15.309350Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 01:56:21,Spirulina 003,pio001,2023-11-28T01:56:21.562055Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 01:56:23,Spirulina 003,pio001,2023-11-28T01:56:23.026235Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 01:59:15,Spirulina 003,pio001,2023-11-28T01:59:15.302836Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 01:59:21,Spirulina 003,pio001,2023-11-28T01:59:21.546043Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 01:59:23,Spirulina 003,pio001,2023-11-28T01:59:23.016388Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 02:13:45,Spirulina 003,pio001,2023-11-28T02:13:45.343285Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 02:13:51,Spirulina 003,pio001,2023-11-28T02:13:51.598905Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 02:13:53,Spirulina 003,pio001,2023-11-28T02:13:53.075522Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 02:43:45,Spirulina 003,pio001,2023-11-28T02:43:45.309181Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 02:43:51,Spirulina 003,pio001,2023-11-28T02:43:51.553929Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 02:43:53,Spirulina 003,pio001,2023-11-28T02:43:53.007774Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 03:05:45,Spirulina 003,pio001,2023-11-28T03:05:45.308205Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 03:05:51,Spirulina 003,pio001,2023-11-28T03:05:51.568984Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 03:05:53,Spirulina 003,pio001,2023-11-28T03:05:53.029563Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 03:52:15,Spirulina 003,pio001,2023-11-28T03:52:15.320024Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 03:52:21,Spirulina 003,pio001,2023-11-28T03:52:21.582094Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 03:52:23,Spirulina 003,pio001,2023-11-28T03:52:23.042771Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 04:20:45,Spirulina 003,pio001,2023-11-28T04:20:45.313939Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 04:20:51,Spirulina 003,pio001,2023-11-28T04:20:51.574215Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 04:20:53,Spirulina 003,pio001,2023-11-28T04:20:53.042677Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 07:10:15,Spirulina 003,pio001,2023-11-28T07:10:15.304673Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 07:10:21,Spirulina 003,pio001,2023-11-28T07:10:21.552358Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 07:10:23,Spirulina 003,pio001,2023-11-28T07:10:23.029598Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 09:43:45,Spirulina 003,pio001,2023-11-28T09:43:45.310647Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 09:43:51,Spirulina 003,pio001,2023-11-28T09:43:51.558715Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 09:43:53,Spirulina 003,pio001,2023-11-28T09:43:53.020484Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 09:50:15,Spirulina 003,pio001,2023-11-28T09:50:15.241852Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 09:50:21,Spirulina 003,pio001,2023-11-28T09:50:21.485427Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 09:50:22,Spirulina 003,pio001,2023-11-28T09:50:22.953634Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 10:33:15,Spirulina 003,pio001,2023-11-28T10:33:15.304769Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 10:33:21,Spirulina 003,pio001,2023-11-28T10:33:21.558579Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 10:33:23,Spirulina 003,pio001,2023-11-28T10:33:23.085622Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 10:46:45,Spirulina 003,pio001,2023-11-28T10:46:45.212244Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 10:46:51,Spirulina 003,pio001,2023-11-28T10:46:51.496705Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 10:46:52,Spirulina 003,pio001,2023-11-28T10:46:52.997108Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 11:05:45,Spirulina 003,pio001,2023-11-28T11:05:45.348283Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 11:05:51,Spirulina 003,pio001,2023-11-28T11:05:51.593902Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 11:05:53,Spirulina 003,pio001,2023-11-28T11:05:53.060786Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 12:47:15,Spirulina 003,pio001,2023-11-28T12:47:15.309202Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 12:47:21,Spirulina 003,pio001,2023-11-28T12:47:21.560026Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 12:47:23,Spirulina 003,pio001,2023-11-28T12:47:23.028011Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 13:21:45,Spirulina 003,pio001,2023-11-28T13:21:45.308889Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 13:21:51,Spirulina 003,pio001,2023-11-28T13:21:51.573553Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 13:21:53,Spirulina 003,pio001,2023-11-28T13:21:53.047882Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 13:54:15,Spirulina 003,pio001,2023-11-28T13:54:15.307548Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 13:54:21,Spirulina 003,pio001,2023-11-28T13:54:21.563815Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 13:54:23,Spirulina 003,pio001,2023-11-28T13:54:23.025955Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 14:24:45,Spirulina 003,pio001,2023-11-28T14:24:45.309471Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 14:24:51,Spirulina 003,pio001,2023-11-28T14:24:51.561512Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 14:24:53,Spirulina 003,pio001,2023-11-28T14:24:53.023966Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 14:41:45,Spirulina 003,pio001,2023-11-28T14:41:45.311728Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 14:41:51,Spirulina 003,pio001,2023-11-28T14:41:51.556550Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 14:41:53,Spirulina 003,pio001,2023-11-28T14:41:53.016715Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 15:22:45,Spirulina 003,pio001,2023-11-28T15:22:45.306212Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 15:22:51,Spirulina 003,pio001,2023-11-28T15:22:51.564967Z,remove_waste,0.1,dosing_automation:turbidostat
