timestamp_localtime,experiment,pioreactor_unit,timestamp,channel,intensity,source_of_event
2023-11-28 00:26:58,Spirulina 003,pio001,2023-11-28T00:26:58.519275Z,D,50.0,led_automation:light_dark_cycle
2023-11-28 00:26:58,Spirulina 003,pio001,2023-11-28T00:26:58.585104Z,C,50.0,led_automation:light_dark_cycle
2023-11-28 08:17:14,Spirulina 003,pio001,2023-11-28T08:17:14.052417Z,C,75.0,UI
2023-11-28 08:17:22,Spirulina 003,pio001,2023-11-28T08:17:22.919792Z,D,75.0,UI
2023-11-28 08:18:13,Spirulina 003,pio001,2023-11-28T08:18:13.327893Z,D,75.0,UI
2023-11-28 08:24:17,Spirulina 003,pio001,2023-11-28T08:24:17.850457Z,D,75.0,UI
2023-11-28 16:26:58,Spirulina 003,pio001,2023-11-28T16:26:58.480751Z,D,0.0,led_automation:light_dark_cycle
2023-11-28 16:26:58,Spirulina 003,pio001,2023-11-28T16:26:58.535391Z,C,0.0,led_automation:light_dark_cycle
2023-11-28 20:15:00,Spirulina 003,pio001,2023-11-28T20:15:00.422174Z,C,0.0,led_automation:light_dark_cycle
2023-11-28 20:15:00,Spirulina 003,pio001,2023-11-28T20:15:00.422174Z,D,0.0,led_automation:light_dark_cycle
2023-11-28 20:15:04,Spirulina 003,pio001,2023-11-28T20:15:04.868815Z,D,75.0,led_automation:light_dark_cycle
2023-11-28 20:15:04,Spirulina 003,pio001,2023-11-28T20:15:04.920135Z,C,75.0,led_automation:light_dark_cycle
2023-11-29 12:15:04,Spirulina 003,pio001,2023-11-29T12:15:04.868405Z,D,0.0,led_automation:light_dark_cycle
2023-11-29 12:15:04,Spirulina 003,pio001,2023-11-29T12:15:04.920094Z,C,0.0,led_automation:light_dark_cycle
2023-11-29 17:56:44,Spirulina 003,pio001,2023-11-29T17:56:44.029620Z,D,75.0,led_automation:light_dark_cycle
2023-11-29 17:56:44,Spirulina 003,pio001,2023-11-29T17:56:44.082894Z,C,75.0,led_automation:light_dark_cycle
2023-11-30 09:56:43,Spirulina 003,pio001,2023-11-30T09:56:43.975358Z,D,0.0,led_automation:light_dark_cycle
2023-11-30 09:56:44,Spirulina 003,pio001,2023-11-30T09:56:44.027357Z,C,0.0,led_automation:light_dark_cycle
2023-11-30 17:56:43,Spirulina 003,pio001,2023-11-30T17:56:43.974644Z,D,75.0,led_automation:light_dark_cycle
2023-11-30 17:56:44,Spirulina 003,pio001,2023-11-30T17:56:44.027371Z,C,75.0,led_automation:light_dark_cycle
2023-12-01 09:56:43,Spirulina 003,pio001,2023-12-01T09:56:43.974624Z,D,0.0,led_automation:light_dark_cycle
2023-12-01 09:56:44,Spirulina 003,pio001,2023-12-01T09:56:44.026378Z,C,0.0,led_automation:light_dark_cycle
2023-12-01 17:56:43,Spirulina 003,pio001,2023-12-01T17:56:43.974395Z,D,75.0,led_automation:light_dark_cycle
2023-12-01 17:56:44,Spirulina 003,pio001,2023-12-01T17:56:44.025211Z,C,75.0,led_automation:light_dark_cycle
2023-12-02 09:56:43,Spirulina 003,pio001,2023-12-02T09:56:43.974295Z,D,0.0,led_automation:light_dark_cycle
2023-12-02 09:56:44,Spirulina 003,pio001,2023-12-02T09:56:44.026615Z,C,0.0,led_automation:light_dark_cycle
2023-12-02 17:56:43,Spirulina 003,pio001,2023-12-02T17:56:43.974848Z,D,75.0,led_automation:light_dark_cycle
2023-12-02 17:56:44,Spirulina 003,pio001,2023-12-02T17:56:44.026763Z,C,75.0,led_automation:light_dark_cycle
2023-12-03 09:56:43,Spirulina 003,pio001,2023-12-03T09:56:43.974038Z,D,0.0,led_automation:light_dark_cycle
2023-12-03 09:56:44,Spirulina 003,pio001,2023-12-03T09:56:44.026956Z,C,0.0,led_automation:light_dark_cycle
2023-12-03 17:56:43,Spirulina 003,pio001,2023-12-03T17:56:43.974733Z,D,75.0,led_automation:light_dark_cycle
2023-12-03 17:56:44,Spirulina 003,pio001,2023-12-03T17:56:44.026493Z,C,75.0,led_automation:light_dark_cycle
2023-12-04 09:56:43,Spirulina 003,pio001,2023-12-04T09:56:43.975171Z,D,0.0,led_automation:light_dark_cycle
2023-12-04 09:56:44,Spirulina 003,pio001,2023-12-04T09:56:44.030144Z,C,0.0,led_automation:light_dark_cycle
2023-12-04 17:56:43,Spirulina 003,pio001,2023-12-04T17:56:43.974344Z,D,75.0,led_automation:light_dark_cycle
2023-12-04 17:56:44,Spirulina 003,pio001,2023-12-04T17:56:44.027564Z,C,75.0,led_automation:light_dark_cycle
2023-12-05 09:15:03,Spirulina 003,pio001,2023-12-05T09:15:03.185105Z,C,90.0,UI
2023-12-05 09:15:05,Spirulina 003,pio001,2023-12-05T09:15:05.644576Z,D,90.0,UI
2023-12-05 09:56:43,Spirulina 003,pio001,2023-12-05T09:56:43.974056Z,D,0.0,led_automation:light_dark_cycle
2023-12-05 09:56:44,Spirulina 003,pio001,2023-12-05T09:56:44.026960Z,C,0.0,led_automation:light_dark_cycle
2023-12-05 17:56:43,Spirulina 003,pio001,2023-12-05T17:56:43.975745Z,D,75.0,led_automation:light_dark_cycle
2023-12-05 17:56:44,Spirulina 003,pio001,2023-12-05T17:56:44.027927Z,C,75.0,led_automation:light_dark_cycle
2023-12-06 09:56:43,Spirulina 003,pio001,2023-12-06T09:56:43.974496Z,D,0.0,led_automation:light_dark_cycle
2023-12-06 09:56:44,Spirulina 003,pio001,2023-12-06T09:56:44.027555Z,C,0.0,led_automation:light_dark_cycle
2023-12-06 17:56:43,Spirulina 003,pio001,2023-12-06T17:56:43.974758Z,D,75.0,led_automation:light_dark_cycle
2023-12-06 17:56:44,Spirulina 003,pio001,2023-12-06T17:56:44.025937Z,C,75.0,led_automation:light_dark_cycle
2023-12-07 09:56:43,Spirulina 003,pio001,2023-12-07T09:56:43.975236Z,D,0.0,led_automation:light_dark_cycle
2023-12-07 09:56:44,Spirulina 003,pio001,2023-12-07T09:56:44.030873Z,C,0.0,led_automation:light_dark_cycle
2023-12-07 17:56:43,Spirulina 003,pio001,2023-12-07T17:56:43.976077Z,D,75.0,led_automation:light_dark_cycle
2023-12-07 17:56:44,Spirulina 003,pio001,2023-12-07T17:56:44.031337Z,C,75.0,led_automation:light_dark_cycle
2023-12-08 09:56:43,Spirulina 003,pio001,2023-12-08T09:56:43.974507Z,D,0.0,led_automation:light_dark_cycle
2023-12-08 09:56:44,Spirulina 003,pio001,2023-12-08T09:56:44.027054Z,C,0.0,led_automation:light_dark_cycle
2023-12-08 17:56:43,Spirulina 003,pio001,2023-12-08T17:56:43.974053Z,D,75.0,led_automation:light_dark_cycle
2023-12-08 17:56:44,Spirulina 003,pio001,2023-12-08T17:56:44.026478Z,C,75.0,led_automation:light_dark_cycle
2023-12-09 09:56:43,Spirulina 003,pio001,2023-12-09T09:56:43.974523Z,D,0.0,led_automation:light_dark_cycle
2023-12-09 09:56:44,Spirulina 003,pio001,2023-12-09T09:56:44.025809Z,C,0.0,led_automation:light_dark_cycle
2023-12-09 17:56:43,Spirulina 003,pio001,2023-12-09T17:56:43.976256Z,D,75.0,led_automation:light_dark_cycle
2023-12-09 17:56:44,Spirulina 003,pio001,2023-12-09T17:56:44.030213Z,C,75.0,led_automation:light_dark_cycle
2023-12-10 09:56:43,Spirulina 003,pio001,2023-12-10T09:56:43.976610Z,D,0.0,led_automation:light_dark_cycle
2023-12-10 09:56:44,Spirulina 003,pio001,2023-12-10T09:56:44.028685Z,C,0.0,led_automation:light_dark_cycle
2023-12-10 17:56:43,Spirulina 003,pio001,2023-12-10T17:56:43.976771Z,D,75.0,led_automation:light_dark_cycle
2023-12-10 17:56:44,Spirulina 003,pio001,2023-12-10T17:56:44.029447Z,C,75.0,led_automation:light_dark_cycle
2023-12-11 09:56:43,Spirulina 003,pio001,2023-12-11T09:56:43.974613Z,D,0.0,led_automation:light_dark_cycle
2023-12-11 09:56:44,Spirulina 003,pio001,2023-12-11T09:56:44.026719Z,C,0.0,led_automation:light_dark_cycle
2023-12-11 17:56:43,Spirulina 003,pio001,2023-12-11T17:56:43.974876Z,D,75.0,led_automation:light_dark_cycle
2023-12-11 17:56:44,Spirulina 003,pio001,2023-12-11T17:56:44.026916Z,C,75.0,led_automation:light_dark_cycle
2023-12-11 18:29:48,Spirulina 003,pio001,2023-12-11T18:29:48.556011Z,D,90.0,UI
2023-12-11 18:30:50,Spirulina 003,pio001,2023-12-11T18:30:50.801780Z,C,90.0,UI
2023-12-12 09:56:43,Spirulina 003,pio001,2023-12-12T09:56:43.974413Z,D,0.0,led_automation:light_dark_cycle
2023-12-12 09:56:44,Spirulina 003,pio001,2023-12-12T09:56:44.025284Z,C,0.0,led_automation:light_dark_cycle
2023-12-12 17:56:43,Spirulina 003,pio001,2023-12-12T17:56:43.974987Z,D,75.0,led_automation:light_dark_cycle
2023-12-12 17:56:44,Spirulina 003,pio001,2023-12-12T17:56:44.027634Z,C,75.0,led_automation:light_dark_cycle
2023-12-13 09:56:43,Spirulina 003,pio001,2023-12-13T09:56:43.975497Z,D,0.0,led_automation:light_dark_cycle
2023-12-13 09:56:44,Spirulina 003,pio001,2023-12-13T09:56:44.026938Z,C,0.0,led_automation:light_dark_cycle
2023-12-13 17:56:43,Spirulina 003,pio001,2023-12-13T17:56:43.975142Z,D,75.0,led_automation:light_dark_cycle
2023-12-13 17:56:44,Spirulina 003,pio001,2023-12-13T17:56:44.026834Z,C,75.0,led_automation:light_dark_cycle
