timestamp_localtime,experiment,pioreactor_unit,timestamp,alt_media_fraction
2024-08-11 07:17:16,Booch01,pio02,2024-08-11T06:17:16.035019Z,0.0
2024-08-11 07:17:21,Booch01,pio02,2024-08-11T06:17:21.192604Z,0.0
2024-08-11 07:17:49,Booch01,pio02,2024-08-11T06:17:49.532333Z,0.0
2024-08-11 07:18:00,Booch01,pio02,2024-08-11T06:18:00.020291Z,0.0
2024-08-11 07:18:20,Booch01,pio02,2024-08-11T06:18:20.844039Z,0.0
2024-08-11 07:18:49,Booch01,pio02,2024-08-11T06:18:49.152020Z,0.0
2024-08-11 07:18:59,Booch01,pio02,2024-08-11T06:18:59.773264Z,0.0
2024-08-11 07:19:20,Booch01,pio02,2024-08-11T06:19:20.600360Z,0.0
2024-08-11 07:19:48,Booch01,pio02,2024-08-11T06:19:48.912272Z,0.0
2024-08-11 07:19:59,Booch01,pio02,2024-08-11T06:19:59.396294Z,0.0
2024-08-11 07:20:20,Booch01,pio02,2024-08-11T06:20:20.252656Z,0.0
2024-08-11 07:20:48,Booch01,pio02,2024-08-11T06:20:48.564484Z,0.0
2024-08-11 07:20:59,Booch01,pio02,2024-08-11T06:20:59.052536Z,0.0
2024-08-11 07:21:19,Booch01,pio02,2024-08-11T06:21:19.980565Z,0.0
2024-08-11 07:21:48,Booch01,pio02,2024-08-11T06:21:48.291912Z,0.0
2024-08-11 07:21:58,Booch01,pio02,2024-08-11T06:21:58.780206Z,0.0
2024-08-11 07:22:19,Booch01,pio02,2024-08-11T06:22:19.604004Z,0.0
2024-08-11 07:22:47,Booch01,pio02,2024-08-11T06:22:47.911849Z,0.0
2024-08-11 07:22:58,Booch01,pio02,2024-08-11T06:22:58.400180Z,0.0
2024-08-11 07:23:19,Booch01,pio02,2024-08-11T06:23:19.228411Z,0.0
2024-08-11 07:23:47,Booch01,pio02,2024-08-11T06:23:47.640328Z,0.0
2024-08-11 07:23:58,Booch01,pio02,2024-08-11T06:23:58.127950Z,0.0
2024-08-11 07:24:18,Booch01,pio02,2024-08-11T06:24:18.951681Z,0.0
2024-08-11 07:24:47,Booch01,pio02,2024-08-11T06:24:47.264192Z,0.0
2024-08-11 07:24:57,Booch01,pio02,2024-08-11T06:24:57.748279Z,0.0
2024-08-11 07:25:18,Booch01,pio02,2024-08-11T06:25:18.573486Z,0.0
2024-08-11 07:25:46,Booch01,pio02,2024-08-11T06:25:46.883900Z,0.0
2024-08-11 07:25:57,Booch01,pio02,2024-08-11T06:25:57.468328Z,0.0
2024-08-11 07:26:18,Booch01,pio02,2024-08-11T06:26:18.288690Z,0.0
2024-08-11 07:26:46,Booch01,pio02,2024-08-11T06:26:46.596439Z,0.0
2024-08-11 07:26:57,Booch01,pio02,2024-08-11T06:26:57.092244Z,0.0
2024-08-11 07:27:17,Booch01,pio02,2024-08-11T06:27:17.919687Z,0.0
2024-08-11 07:27:46,Booch01,pio02,2024-08-11T06:27:46.263905Z,0.0
2024-08-11 07:27:56,Booch01,pio02,2024-08-11T06:27:56.747659Z,0.0
2024-08-11 07:28:17,Booch01,pio02,2024-08-11T06:28:17.680291Z,0.0
2024-08-11 07:28:45,Booch01,pio02,2024-08-11T06:28:45.988593Z,0.0
2024-08-11 07:28:56,Booch01,pio02,2024-08-11T06:28:56.480490Z,0.0
2024-08-11 07:29:17,Booch01,pio02,2024-08-11T06:29:17.304477Z,0.0
2024-08-11 07:29:45,Booch01,pio02,2024-08-11T06:29:45.612267Z,0.0
2024-08-11 07:29:56,Booch01,pio02,2024-08-11T06:29:56.140025Z,0.0
2024-08-11 07:30:16,Booch01,pio02,2024-08-11T06:30:16.963995Z,0.0
2024-08-11 07:30:45,Booch01,pio02,2024-08-11T06:30:45.372257Z,0.0
2024-08-11 07:30:55,Booch01,pio02,2024-08-11T06:30:55.860234Z,0.0
