timestamp_localtime,experiment,pioreactor_unit,timestamp,event_name,message,data
2024-08-11 07:15:16,Booch01,pio02,2024-08-11T06:15:16.273114Z,DilutionEvent,exchanged 7.5mL,"{""volume_actually_cycled"": 7.5}"
2024-08-11 07:33:15,Booch01,pio02,2024-08-11T06:33:15.970264Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 07:49:16,Booch01,pio02,2024-08-11T06:49:16.034233Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 08:05:15,Booch01,pio02,2024-08-11T07:05:15.886260Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 08:21:15,Booch01,pio02,2024-08-11T07:21:15.826303Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 08:37:16,Booch01,pio02,2024-08-11T07:37:16.054243Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 08:53:15,Booch01,pio02,2024-08-11T07:53:15.874247Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 09:09:16,Booch01,pio02,2024-08-11T08:09:16.054261Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 09:25:15,Booch01,pio02,2024-08-11T08:25:15.958233Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 09:41:16,Booch01,pio02,2024-08-11T08:41:16.026265Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 09:57:15,Booch01,pio02,2024-08-11T08:57:15.902246Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 10:13:15,Booch01,pio02,2024-08-11T09:13:15.886288Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 10:29:16,Booch01,pio02,2024-08-11T09:29:16.070271Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 10:45:15,Booch01,pio02,2024-08-11T09:45:15.990237Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 11:01:15,Booch01,pio02,2024-08-11T10:01:15.866526Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
2024-08-11 11:17:15,Booch01,pio02,2024-08-11T10:17:15.966238Z,DilutionEvent,exchanged 15.0mL,"{""volume_actually_cycled"": 15.0}"
