timestamp_localtime,experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event
2024-08-11 07:17:21,Booch01,pio02,2024-08-11T06:17:21.147435Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:17:49,Booch01,pio02,2024-08-11T06:17:49.489086Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:17:59,Booch01,pio02,2024-08-11T06:17:59.974358Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:18:20,Booch01,pio02,2024-08-11T06:18:20.799013Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:18:49,Booch01,pio02,2024-08-11T06:18:49.107962Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:18:59,Booch01,pio02,2024-08-11T06:18:59.729746Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:19:20,Booch01,pio02,2024-08-11T06:19:20.555564Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:19:48,Booch01,pio02,2024-08-11T06:19:48.867217Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:19:59,Booch01,pio02,2024-08-11T06:19:59.352169Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:20:20,Booch01,pio02,2024-08-11T06:20:20.208188Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:20:48,Booch01,pio02,2024-08-11T06:20:48.520986Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:20:59,Booch01,pio02,2024-08-11T06:20:59.008446Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:21:19,Booch01,pio02,2024-08-11T06:21:19.935576Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:21:48,Booch01,pio02,2024-08-11T06:21:48.246589Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:21:58,Booch01,pio02,2024-08-11T06:21:58.734571Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:22:19,Booch01,pio02,2024-08-11T06:22:19.559830Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:22:47,Booch01,pio02,2024-08-11T06:22:47.868778Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:22:58,Booch01,pio02,2024-08-11T06:22:58.355702Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:23:19,Booch01,pio02,2024-08-11T06:23:19.183643Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:23:47,Booch01,pio02,2024-08-11T06:23:47.595704Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:23:58,Booch01,pio02,2024-08-11T06:23:58.083291Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:24:18,Booch01,pio02,2024-08-11T06:24:18.907097Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:24:47,Booch01,pio02,2024-08-11T06:24:47.218541Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:24:57,Booch01,pio02,2024-08-11T06:24:57.705375Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:25:18,Booch01,pio02,2024-08-11T06:25:18.529074Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:25:46,Booch01,pio02,2024-08-11T06:25:46.838516Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:25:57,Booch01,pio02,2024-08-11T06:25:57.425889Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:26:18,Booch01,pio02,2024-08-11T06:26:18.251054Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:26:46,Booch01,pio02,2024-08-11T06:26:46.561047Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:26:57,Booch01,pio02,2024-08-11T06:26:57.048262Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:27:17,Booch01,pio02,2024-08-11T06:27:17.874430Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:27:46,Booch01,pio02,2024-08-11T06:27:46.218566Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:27:56,Booch01,pio02,2024-08-11T06:27:56.705987Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:28:17,Booch01,pio02,2024-08-11T06:28:17.635059Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:28:45,Booch01,pio02,2024-08-11T06:28:45.943879Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:28:56,Booch01,pio02,2024-08-11T06:28:56.435728Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:29:17,Booch01,pio02,2024-08-11T06:29:17.261170Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:29:45,Booch01,pio02,2024-08-11T06:29:45.569469Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:29:56,Booch01,pio02,2024-08-11T06:29:56.094697Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:30:16,Booch01,pio02,2024-08-11T06:30:16.918344Z,add_media,0.9375,dosing_automation:chemostat
