timestamp_localtime,experiment,pioreactor_unit,timestamp,relative_intensity
2024-08-11 07:17:27,Booch01,pio02,2024-08-11T06:17:27.651920Z,0.07285324776316443
2024-08-11 07:18:37,Booch01,pio02,2024-08-11T06:18:37.642152Z,0.07212576166190356
2024-08-11 07:19:07,Booch01,pio02,2024-08-11T06:19:07.642304Z,0.0719524627985735
2024-08-11 07:20:32,Booch01,pio02,2024-08-11T06:20:32.642592Z,0.07178080810175833
2024-08-11 07:22:07,Booch01,pio02,2024-08-11T06:22:07.642568Z,0.07176944801330085
2024-08-11 07:22:47,Booch01,pio02,2024-08-11T06:22:47.642288Z,0.07169511102802881
2024-08-11 07:23:22,Booch01,pio02,2024-08-11T06:23:22.642640Z,0.07167349588465889
2024-08-11 07:24:17,Booch01,pio02,2024-08-11T06:24:17.642488Z,0.07164670191303993
2024-08-11 07:24:37,Booch01,pio02,2024-08-11T06:24:37.644536Z,0.07165609428507437
2024-08-11 07:25:07,Booch01,pio02,2024-08-11T06:25:07.642480Z,0.07166743212766831
2024-08-11 07:25:47,Booch01,pio02,2024-08-11T06:25:47.642280Z,0.07170253669136116
2024-08-11 07:25:52,Booch01,pio02,2024-08-11T06:25:52.642408Z,0.07170241006397847
2024-08-11 07:27:27,Booch01,pio02,2024-08-11T06:27:27.642192Z,0.0717042011831914
2024-08-11 07:28:32,Booch01,pio02,2024-08-11T06:28:32.642264Z,0.07174606455289607
2024-08-11 07:28:37,Booch01,pio02,2024-08-11T06:28:37.642768Z,0.07174663969580031
2024-08-11 07:28:57,Booch01,pio02,2024-08-11T06:28:57.642360Z,0.07176520267130454
2024-08-11 07:29:12,Booch01,pio02,2024-08-11T06:29:12.642672Z,0.07176141891347715
2024-08-11 07:30:02,Booch01,pio02,2024-08-11T06:30:02.642816Z,0.07174650715329976
2024-08-11 07:30:07,Booch01,pio02,2024-08-11T06:30:07.642648Z,0.07175340680695393
2024-08-11 07:30:47,Booch01,pio02,2024-08-11T06:30:47.642608Z,0.07176515899554659
2024-08-11 07:31:37,Booch01,pio02,2024-08-11T06:31:37.641896Z,0.07177160379572027
2024-08-11 07:32:07,Booch01,pio02,2024-08-11T06:32:07.642224Z,0.07178021891291543
2024-08-11 07:33:47,Booch01,pio02,2024-08-11T06:33:47.642824Z,0.07168770731462742
2024-08-11 07:34:17,Booch01,pio02,2024-08-11T06:34:17.642336Z,0.0716537932629142
2024-08-11 07:34:22,Booch01,pio02,2024-08-11T06:34:22.642368Z,0.07164382799178756
2024-08-11 07:34:57,Booch01,pio02,2024-08-11T06:34:57.642424Z,0.0716032985771652
2024-08-11 07:35:32,Booch01,pio02,2024-08-11T06:35:32.642752Z,0.07158850583622645
2024-08-11 07:36:07,Booch01,pio02,2024-08-11T06:36:07.642224Z,0.07160543192157326
2024-08-11 07:39:17,Booch01,pio02,2024-08-11T06:39:17.642360Z,0.0717006248734083
2024-08-11 07:39:22,Booch01,pio02,2024-08-11T06:39:22.642536Z,0.07170875538198976
2024-08-11 07:39:37,Booch01,pio02,2024-08-11T06:39:37.642248Z,0.07172658822199945
2024-08-11 07:39:57,Booch01,pio02,2024-08-11T06:39:57.642264Z,0.07174853757458358
2024-08-11 07:40:22,Booch01,pio02,2024-08-11T06:40:22.642456Z,0.07176701884194298
2024-08-11 07:40:47,Booch01,pio02,2024-08-11T06:40:47.642056Z,0.07177636725662735
2024-08-11 07:41:02,Booch01,pio02,2024-08-11T06:41:02.641880Z,0.07177373173672326
2024-08-11 07:41:12,Booch01,pio02,2024-08-11T06:41:12.642576Z,0.07176054234745691
2024-08-11 07:41:57,Booch01,pio02,2024-08-11T06:41:57.646176Z,0.07176223053206292
2024-08-11 07:42:37,Booch01,pio02,2024-08-11T06:42:37.641824Z,0.07176509794960528
2024-08-11 07:44:42,Booch01,pio02,2024-08-11T06:44:42.643616Z,0.07176762490556576
2024-08-11 07:45:52,Booch01,pio02,2024-08-11T06:45:52.642624Z,0.07173789624831609
2024-08-11 07:46:02,Booch01,pio02,2024-08-11T06:46:02.642544Z,0.07174795286243528
2024-08-11 07:46:32,Booch01,pio02,2024-08-11T06:46:32.642728Z,0.07174091859747343
2024-08-11 07:49:37,Booch01,pio02,2024-08-11T06:49:37.642160Z,0.07175857521504556
2024-08-11 07:50:02,Booch01,pio02,2024-08-11T06:50:02.642224Z,0.07174864966841464
2024-08-11 07:50:22,Booch01,pio02,2024-08-11T06:50:22.642272Z,0.07174956232826976
2024-08-11 07:51:47,Booch01,pio02,2024-08-11T06:51:47.642112Z,0.07172864705960288
2024-08-11 07:53:02,Booch01,pio02,2024-08-11T06:53:02.642376Z,0.07169618055532366
2024-08-11 07:53:07,Booch01,pio02,2024-08-11T06:53:07.642488Z,0.07170686848026808
2024-08-11 07:54:27,Booch01,pio02,2024-08-11T06:54:27.642416Z,0.07162433055454186
2024-08-11 07:54:32,Booch01,pio02,2024-08-11T06:54:32.642368Z,0.07161266120005977
2024-08-11 07:55:07,Booch01,pio02,2024-08-11T06:55:07.642264Z,0.07159905832291871
2024-08-11 07:56:17,Booch01,pio02,2024-08-11T06:56:17.642392Z,0.07158413538253516
2024-08-11 07:56:27,Booch01,pio02,2024-08-11T06:56:27.642400Z,0.07158307482000889
2024-08-11 07:57:02,Booch01,pio02,2024-08-11T06:57:02.642608Z,0.07160343475885529
2024-08-11 07:57:17,Booch01,pio02,2024-08-11T06:57:17.642528Z,0.07160027959663152
2024-08-11 07:57:27,Booch01,pio02,2024-08-11T06:57:27.642280Z,0.07160955334853045
2024-08-11 07:57:42,Booch01,pio02,2024-08-11T06:57:42.642472Z,0.0716129009860736
2024-08-11 07:58:07,Booch01,pio02,2024-08-11T06:58:07.642544Z,0.07161158750221581
2024-08-11 07:59:07,Booch01,pio02,2024-08-11T06:59:07.642600Z,0.07162344277459469
2024-08-11 07:59:32,Booch01,pio02,2024-08-11T06:59:32.642160Z,0.07162216290115783
2024-08-11 08:00:02,Booch01,pio02,2024-08-11T07:00:02.642440Z,0.07161535616312778
2024-08-11 08:00:17,Booch01,pio02,2024-08-11T07:00:17.647448Z,0.07161733344523136
2024-08-11 08:01:37,Booch01,pio02,2024-08-11T07:01:37.642296Z,0.07154445226527657
2024-08-11 08:02:12,Booch01,pio02,2024-08-11T07:02:12.642392Z,0.07153299663706901
2024-08-11 08:02:27,Booch01,pio02,2024-08-11T07:02:27.642304Z,0.07153410368701725
2024-08-11 08:03:12,Booch01,pio02,2024-08-11T07:03:12.642496Z,0.0715693473470547
2024-08-11 08:03:17,Booch01,pio02,2024-08-11T07:03:17.642312Z,0.07157091802437561
2024-08-11 08:03:22,Booch01,pio02,2024-08-11T07:03:22.642680Z,0.07158140994160624
2024-08-11 08:03:37,Booch01,pio02,2024-08-11T07:03:37.642328Z,0.07159519135105885
2024-08-11 08:06:57,Booch01,pio02,2024-08-11T07:06:57.642232Z,0.07168460467176678
2024-08-11 08:07:02,Booch01,pio02,2024-08-11T07:07:02.642696Z,0.07169168262407984
2024-08-11 08:07:32,Booch01,pio02,2024-08-11T07:07:32.642608Z,0.07171069945148965
2024-08-11 08:08:12,Booch01,pio02,2024-08-11T07:08:12.642688Z,0.07173913046683343
2024-08-11 08:08:37,Booch01,pio02,2024-08-11T07:08:37.642328Z,0.0717472175328612
2024-08-11 08:08:52,Booch01,pio02,2024-08-11T07:08:52.642656Z,0.07175126366759658
2024-08-11 08:12:32,Booch01,pio02,2024-08-11T07:12:32.642080Z,0.07177661553841361
2024-08-11 08:12:42,Booch01,pio02,2024-08-11T07:12:42.642056Z,0.07177016486329868
2024-08-11 08:13:32,Booch01,pio02,2024-08-11T07:13:32.642368Z,0.07177380237047962
2024-08-11 08:13:42,Booch01,pio02,2024-08-11T07:13:42.642512Z,0.0717787149520256
2024-08-11 08:14:07,Booch01,pio02,2024-08-11T07:14:07.642992Z,0.07177839769184222
2024-08-11 08:14:52,Booch01,pio02,2024-08-11T07:14:52.642392Z,0.07178946424839008
2024-08-11 08:15:12,Booch01,pio02,2024-08-11T07:15:12.642312Z,0.07177619800768827
2024-08-11 08:15:22,Booch01,pio02,2024-08-11T07:15:22.642432Z,0.07176473812958968
2024-08-11 08:16:37,Booch01,pio02,2024-08-11T07:16:37.642408Z,0.07173393646486059
2024-08-11 08:16:47,Booch01,pio02,2024-08-11T07:16:47.642384Z,0.07172500267099004
2024-08-11 08:16:57,Booch01,pio02,2024-08-11T07:16:57.642736Z,0.07171994191145438
2024-08-11 08:17:02,Booch01,pio02,2024-08-11T07:17:02.643040Z,0.07171668488351737
2024-08-11 08:17:47,Booch01,pio02,2024-08-11T07:17:47.642768Z,0.07169292490143009
2024-08-11 08:17:52,Booch01,pio02,2024-08-11T07:17:52.642440Z,0.07168996520418766
2024-08-11 08:18:22,Booch01,pio02,2024-08-11T07:18:22.642256Z,0.0716805282006999
2024-08-11 08:19:37,Booch01,pio02,2024-08-11T07:19:37.642824Z,0.07163353265346187
2024-08-11 08:20:02,Booch01,pio02,2024-08-11T07:20:02.642576Z,0.07161641246585235
2024-08-11 08:20:52,Booch01,pio02,2024-08-11T07:20:52.642352Z,0.07159862686252594
2024-08-11 08:21:52,Booch01,pio02,2024-08-11T07:21:52.642680Z,0.07157637576997573
2024-08-11 08:22:27,Booch01,pio02,2024-08-11T07:22:27.642712Z,0.07155732230001163
2024-08-11 08:23:07,Booch01,pio02,2024-08-11T07:23:07.642392Z,0.07158159613649945
2024-08-11 08:23:17,Booch01,pio02,2024-08-11T07:23:17.642488Z,0.07158492679102291
2024-08-11 08:23:32,Booch01,pio02,2024-08-11T07:23:32.642568Z,0.07159509070740425
2024-08-11 08:24:22,Booch01,pio02,2024-08-11T07:24:22.642536Z,0.07161832778109682
2024-08-11 08:25:12,Booch01,pio02,2024-08-11T07:25:12.642808Z,0.07163074925016522
2024-08-11 08:25:37,Booch01,pio02,2024-08-11T07:25:37.642352Z,0.0716461290069501
2024-08-11 08:25:47,Booch01,pio02,2024-08-11T07:25:47.642384Z,0.07166136703058086
2024-08-11 08:26:52,Booch01,pio02,2024-08-11T07:26:52.642464Z,0.07174969941508336
2024-08-11 08:27:12,Booch01,pio02,2024-08-11T07:27:12.642464Z,0.07176938440428783
2024-08-11 08:28:07,Booch01,pio02,2024-08-11T07:28:07.642752Z,0.07176634291293499
2024-08-11 08:29:22,Booch01,pio02,2024-08-11T07:29:22.642736Z,0.07181490345864945
2024-08-11 08:31:02,Booch01,pio02,2024-08-11T07:31:02.642392Z,0.07177519343687534
2024-08-11 08:31:42,Booch01,pio02,2024-08-11T07:31:42.642392Z,0.07172017347676822
2024-08-11 08:31:47,Booch01,pio02,2024-08-11T07:31:47.642832Z,0.07172302967311256
2024-08-11 08:32:12,Booch01,pio02,2024-08-11T07:32:12.642280Z,0.0717500878970894
2024-08-11 08:33:02,Booch01,pio02,2024-08-11T07:33:02.642584Z,0.0717278152660478
2024-08-11 08:34:22,Booch01,pio02,2024-08-11T07:34:22.642224Z,0.07170788511161381
2024-08-11 08:35:32,Booch01,pio02,2024-08-11T07:35:32.642424Z,0.07173826930251298
2024-08-11 08:35:42,Booch01,pio02,2024-08-11T07:35:42.642096Z,0.07174721673829956
