timestamp_localtime,experiment,pioreactor_unit,timestamp,event_name,message,data
2024-08-11 07:20:54,Booch01,pio02,2024-08-11T06:20:54.344122Z,NoEvent,,
2024-08-11 07:24:14,Booch01,pio02,2024-08-11T06:24:14.344116Z,NoEvent,,
2024-08-11 07:27:34,Booch01,pio02,2024-08-11T06:27:34.345394Z,NoEvent,,
2024-08-11 07:30:54,Booch01,pio02,2024-08-11T06:30:54.345832Z,NoEvent,,
2024-08-11 07:34:14,Booch01,pio02,2024-08-11T06:34:14.362914Z,NoEvent,,
2024-08-11 07:37:34,Booch01,pio02,2024-08-11T06:37:34.347140Z,NoEvent,,
2024-08-11 07:40:54,Booch01,pio02,2024-08-11T06:40:54.344055Z,NoEvent,,
2024-08-11 07:44:14,Booch01,pio02,2024-08-11T06:44:14.345504Z,NoEvent,,
2024-08-11 07:47:34,Booch01,pio02,2024-08-11T06:47:34.363435Z,NoEvent,,
2024-08-11 07:50:54,Booch01,pio02,2024-08-11T06:50:54.344770Z,NoEvent,,
2024-08-11 07:54:14,Booch01,pio02,2024-08-11T06:54:14.345488Z,NoEvent,,
2024-08-11 07:57:34,Booch01,pio02,2024-08-11T06:57:34.345090Z,NoEvent,,
2024-08-11 08:00:54,Booch01,pio02,2024-08-11T07:00:54.344319Z,NoEvent,,
2024-08-11 08:04:14,Booch01,pio02,2024-08-11T07:04:14.362740Z,NoEvent,,
2024-08-11 08:07:34,Booch01,pio02,2024-08-11T07:07:34.343939Z,NoEvent,,
2024-08-11 08:10:54,Booch01,pio02,2024-08-11T07:10:54.344577Z,NoEvent,,
2024-08-11 08:14:14,Booch01,pio02,2024-08-11T07:14:14.345396Z,NoEvent,,
2024-08-11 08:17:34,Booch01,pio02,2024-08-11T07:17:34.362723Z,NoEvent,,
2024-08-11 08:20:54,Booch01,pio02,2024-08-11T07:20:54.345223Z,NoEvent,,
2024-08-11 08:24:14,Booch01,pio02,2024-08-11T07:24:14.345470Z,NoEvent,,
2024-08-11 08:27:34,Booch01,pio02,2024-08-11T07:27:34.345602Z,NoEvent,,
2024-08-11 08:30:54,Booch01,pio02,2024-08-11T07:30:54.344668Z,NoEvent,,
2024-08-11 08:34:14,Booch01,pio02,2024-08-11T07:34:14.362886Z,NoEvent,,
2024-08-11 08:37:34,Booch01,pio02,2024-08-11T07:37:34.347293Z,NoEvent,,
2024-08-11 08:40:54,Booch01,pio02,2024-08-11T07:40:54.343901Z,NoEvent,,
2024-08-11 08:44:14,Booch01,pio02,2024-08-11T07:44:14.344165Z,NoEvent,,
2024-08-11 08:47:34,Booch01,pio02,2024-08-11T07:47:34.362850Z,NoEvent,,
2024-08-11 08:50:54,Booch01,pio02,2024-08-11T07:50:54.345525Z,NoEvent,,
2024-08-11 08:54:14,Booch01,pio02,2024-08-11T07:54:14.343259Z,NoEvent,,
2024-08-11 08:57:34,Booch01,pio02,2024-08-11T07:57:34.344234Z,NoEvent,,
2024-08-11 09:00:54,Booch01,pio02,2024-08-11T08:00:54.346191Z,NoEvent,,
2024-08-11 09:04:14,Booch01,pio02,2024-08-11T08:04:14.366904Z,NoEvent,,
2024-08-11 09:07:34,Booch01,pio02,2024-08-11T08:07:34.345631Z,NoEvent,,
2024-08-11 09:10:54,Booch01,pio02,2024-08-11T08:10:54.346361Z,NoEvent,,
2024-08-11 09:14:14,Booch01,pio02,2024-08-11T08:14:14.346797Z,NoEvent,,
2024-08-11 09:17:34,Booch01,pio02,2024-08-11T08:17:34.362788Z,NoEvent,,
2024-08-11 09:20:54,Booch01,pio02,2024-08-11T08:20:54.345809Z,NoEvent,,
2024-08-11 09:24:14,Booch01,pio02,2024-08-11T08:24:14.345954Z,NoEvent,,
2024-08-11 09:27:34,Booch01,pio02,2024-08-11T08:27:34.344684Z,NoEvent,,
2024-08-11 09:30:54,Booch01,pio02,2024-08-11T08:30:54.345417Z,NoEvent,,
2024-08-11 09:34:14,Booch01,pio02,2024-08-11T08:34:14.362799Z,NoEvent,,
2024-08-11 09:37:34,Booch01,pio02,2024-08-11T08:37:34.344942Z,NoEvent,,
2024-08-11 09:40:54,Booch01,pio02,2024-08-11T08:40:54.346595Z,NoEvent,,
2024-08-11 09:44:14,Booch01,pio02,2024-08-11T08:44:14.347367Z,NoEvent,,
2024-08-11 09:47:34,Booch01,pio02,2024-08-11T08:47:34.366778Z,NoEvent,,
2024-08-11 09:50:54,Booch01,pio02,2024-08-11T08:50:54.346308Z,NoEvent,,
2024-08-11 09:54:14,Booch01,pio02,2024-08-11T08:54:14.344346Z,NoEvent,,
2024-08-11 09:57:34,Booch01,pio02,2024-08-11T08:57:34.346664Z,NoEvent,,
2024-08-11 10:00:54,Booch01,pio02,2024-08-11T09:00:54.343688Z,NoEvent,,
2024-08-11 10:04:14,Booch01,pio02,2024-08-11T09:04:14.362721Z,NoEvent,,
2024-08-11 10:07:34,Booch01,pio02,2024-08-11T09:07:34.346949Z,NoEvent,,
2024-08-11 10:10:54,Booch01,pio02,2024-08-11T09:10:54.347437Z,NoEvent,,
2024-08-11 10:14:14,Booch01,pio02,2024-08-11T09:14:14.348176Z,NoEvent,,
2024-08-11 10:17:34,Booch01,pio02,2024-08-11T09:17:34.366781Z,NoEvent,,
2024-08-11 10:20:54,Booch01,pio02,2024-08-11T09:20:54.347013Z,NoEvent,,
2024-08-11 10:24:14,Booch01,pio02,2024-08-11T09:24:14.346628Z,NoEvent,,
2024-08-11 10:27:34,Booch01,pio02,2024-08-11T09:27:34.346397Z,NoEvent,,
2024-08-11 10:30:54,Booch01,pio02,2024-08-11T09:30:54.346616Z,NoEvent,,
2024-08-11 10:34:14,Booch01,pio02,2024-08-11T09:34:14.362730Z,NoEvent,,
2024-08-11 10:37:34,Booch01,pio02,2024-08-11T09:37:34.346845Z,NoEvent,,
2024-08-11 10:40:54,Booch01,pio02,2024-08-11T09:40:54.344638Z,NoEvent,,
2024-08-11 10:44:14,Booch01,pio02,2024-08-11T09:44:14.347264Z,NoEvent,,
2024-08-11 10:47:34,Booch01,pio02,2024-08-11T09:47:34.366762Z,NoEvent,,
2024-08-11 10:50:54,Booch01,pio02,2024-08-11T09:50:54.346099Z,NoEvent,,
2024-08-11 10:54:14,Booch01,pio02,2024-08-11T09:54:14.345272Z,NoEvent,,
2024-08-11 10:57:34,Booch01,pio02,2024-08-11T09:57:34.347167Z,NoEvent,,
2024-08-11 11:00:54,Booch01,pio02,2024-08-11T10:00:54.345974Z,NoEvent,,
2024-08-11 11:04:14,Booch01,pio02,2024-08-11T10:04:14.362864Z,NoEvent,,
2024-08-11 11:07:34,Booch01,pio02,2024-08-11T10:07:34.345999Z,NoEvent,,
2024-08-11 11:10:54,Booch01,pio02,2024-08-11T10:10:54.345051Z,NoEvent,,
2024-08-11 11:14:14,Booch01,pio02,2024-08-11T10:14:14.345951Z,NoEvent,,
2024-08-11 11:17:34,Booch01,pio02,2024-08-11T10:17:34.345738Z,NoEvent,,
2024-08-11 11:20:54,Booch01,pio02,2024-08-11T10:20:54.345625Z,NoEvent,,
2024-08-11 11:24:14,Booch01,pio02,2024-08-11T10:24:14.345950Z,NoEvent,,
2024-08-11 11:27:34,Booch01,pio02,2024-08-11T10:27:34.349401Z,NoEvent,,
2024-08-11 11:30:54,Booch01,pio02,2024-08-11T10:30:54.346075Z,NoEvent,,
2024-08-11 11:34:14,Booch01,pio02,2024-08-11T10:34:14.362863Z,NoEvent,,
2024-08-11 11:37:34,Booch01,pio02,2024-08-11T10:37:34.346109Z,NoEvent,,
2024-08-11 11:40:54,Booch01,pio02,2024-08-11T10:40:54.347375Z,NoEvent,,
2024-08-11 11:44:14,Booch01,pio02,2024-08-11T10:44:14.345997Z,NoEvent,,
2024-08-11 11:47:34,Booch01,pio02,2024-08-11T10:47:34.346006Z,NoEvent,,
2024-08-11 11:50:54,Booch01,pio02,2024-08-11T10:50:54.346743Z,NoEvent,,
2024-08-11 11:54:14,Booch01,pio02,2024-08-11T10:54:14.347443Z,NoEvent,,
2024-08-11 11:57:34,Booch01,pio02,2024-08-11T10:57:34.346573Z,NoEvent,,
2024-08-11 12:00:54,Booch01,pio02,2024-08-11T11:00:54.345373Z,NoEvent,,
2024-08-11 12:04:14,Booch01,pio02,2024-08-11T11:04:14.366750Z,NoEvent,,
2024-08-11 12:07:34,Booch01,pio02,2024-08-11T11:07:34.347497Z,NoEvent,,
2024-08-11 12:10:54,Booch01,pio02,2024-08-11T11:10:54.346881Z,NoEvent,,
2024-08-11 12:14:14,Booch01,pio02,2024-08-11T11:14:14.345886Z,NoEvent,,
2024-08-11 12:17:34,Booch01,pio02,2024-08-11T11:17:34.345159Z,NoEvent,,
2024-08-11 12:20:54,Booch01,pio02,2024-08-11T11:20:54.344836Z,NoEvent,,
2024-08-11 12:24:14,Booch01,pio02,2024-08-11T11:24:14.346625Z,NoEvent,,
2024-08-11 12:27:34,Booch01,pio02,2024-08-11T11:27:34.345081Z,NoEvent,,
2024-08-11 12:30:54,Booch01,pio02,2024-08-11T11:30:54.344525Z,NoEvent,,
2024-08-11 12:34:14,Booch01,pio02,2024-08-11T11:34:14.362875Z,NoEvent,,
2024-08-11 12:37:34,Booch01,pio02,2024-08-11T11:37:34.346898Z,NoEvent,,
2024-08-11 12:40:54,Booch01,pio02,2024-08-11T11:40:54.346961Z,NoEvent,,
2024-08-11 12:44:14,Booch01,pio02,2024-08-11T11:44:14.347920Z,NoEvent,,
2024-08-11 12:47:34,Booch01,pio02,2024-08-11T11:47:34.347013Z,NoEvent,,
2024-08-11 12:50:54,Booch01,pio02,2024-08-11T11:50:54.345954Z,NoEvent,,
2024-08-11 12:54:14,Booch01,pio02,2024-08-11T11:54:14.345597Z,NoEvent,,
2024-08-11 12:57:34,Booch01,pio02,2024-08-11T11:57:34.344020Z,NoEvent,,
2024-08-11 13:00:54,Booch01,pio02,2024-08-11T12:00:54.346062Z,NoEvent,,
2024-08-11 13:04:14,Booch01,pio02,2024-08-11T12:04:14.366911Z,NoEvent,,
2024-08-11 13:07:34,Booch01,pio02,2024-08-11T12:07:34.347666Z,NoEvent,,
2024-08-11 13:10:54,Booch01,pio02,2024-08-11T12:10:54.345462Z,NoEvent,,
2024-08-11 13:14:14,Booch01,pio02,2024-08-11T12:14:14.345412Z,NoEvent,,
2024-08-11 13:17:34,Booch01,pio02,2024-08-11T12:17:34.345981Z,NoEvent,,
2024-08-11 13:20:54,Booch01,pio02,2024-08-11T12:20:54.344210Z,NoEvent,,
2024-08-11 13:24:14,Booch01,pio02,2024-08-11T12:24:14.346420Z,NoEvent,,
2024-08-11 13:27:34,Booch01,pio02,2024-08-11T12:27:34.347499Z,NoEvent,,
2024-08-11 13:30:54,Booch01,pio02,2024-08-11T12:30:54.347632Z,NoEvent,,
2024-08-11 13:34:14,Booch01,pio02,2024-08-11T12:34:14.366858Z,NoEvent,,
2024-08-11 13:37:34,Booch01,pio02,2024-08-11T12:37:34.347160Z,NoEvent,,
2024-08-11 13:40:54,Booch01,pio02,2024-08-11T12:40:54.347262Z,NoEvent,,
2024-08-11 13:44:14,Booch01,pio02,2024-08-11T12:44:14.345784Z,NoEvent,,
2024-08-11 13:47:34,Booch01,pio02,2024-08-11T12:47:34.347220Z,NoEvent,,
2024-08-11 13:50:54,Booch01,pio02,2024-08-11T12:50:54.345981Z,NoEvent,,
2024-08-11 13:54:14,Booch01,pio02,2024-08-11T12:54:14.349254Z,NoEvent,,
2024-08-11 13:57:34,Booch01,pio02,2024-08-11T12:57:34.346474Z,NoEvent,,
2024-08-11 14:00:54,Booch01,pio02,2024-08-11T13:00:54.346811Z,NoEvent,,
2024-08-11 14:04:14,Booch01,pio02,2024-08-11T13:04:14.366675Z,NoEvent,,
2024-08-11 14:07:34,Booch01,pio02,2024-08-11T13:07:34.346418Z,NoEvent,,
2024-08-11 14:10:54,Booch01,pio02,2024-08-11T13:10:54.346780Z,NoEvent,,
2024-08-11 14:14:14,Booch01,pio02,2024-08-11T13:14:14.345853Z,NoEvent,,
2024-08-11 14:17:34,Booch01,pio02,2024-08-11T13:17:34.344890Z,NoEvent,,
2024-08-11 14:20:54,Booch01,pio02,2024-08-11T13:20:54.344683Z,NoEvent,,
2024-08-11 14:24:14,Booch01,pio02,2024-08-11T13:24:14.345873Z,NoEvent,,
2024-08-11 14:27:34,Booch01,pio02,2024-08-11T13:27:34.347211Z,NoEvent,,
2024-08-11 14:30:54,Booch01,pio02,2024-08-11T13:30:54.346491Z,NoEvent,,
2024-08-11 14:34:14,Booch01,pio02,2024-08-11T13:34:14.366884Z,NoEvent,,
2024-08-11 14:37:34,Booch01,pio02,2024-08-11T13:37:34.352125Z,NoEvent,,
2024-08-11 14:40:54,Booch01,pio02,2024-08-11T13:40:54.348261Z,NoEvent,,
2024-08-11 14:44:14,Booch01,pio02,2024-08-11T13:44:14.347762Z,NoEvent,,
2024-08-11 14:47:34,Booch01,pio02,2024-08-11T13:47:34.346529Z,NoEvent,,
2024-08-11 14:50:54,Booch01,pio02,2024-08-11T13:50:54.347658Z,NoEvent,,
2024-08-11 14:54:14,Booch01,pio02,2024-08-11T13:54:14.345853Z,NoEvent,,
2024-08-11 14:57:34,Booch01,pio02,2024-08-11T13:57:34.346549Z,NoEvent,,
2024-08-11 15:00:54,Booch01,pio02,2024-08-11T14:00:54.346585Z,NoEvent,,
2024-08-11 15:04:14,Booch01,pio02,2024-08-11T14:04:14.362943Z,NoEvent,,
2024-08-11 15:07:34,Booch01,pio02,2024-08-11T14:07:34.347554Z,NoEvent,,
2024-08-11 15:10:54,Booch01,pio02,2024-08-11T14:10:54.346500Z,NoEvent,,
2024-08-11 15:14:14,Booch01,pio02,2024-08-11T14:14:14.347605Z,NoEvent,,
2024-08-11 15:17:34,Booch01,pio02,2024-08-11T14:17:34.344859Z,NoEvent,,
2024-08-11 15:20:54,Booch01,pio02,2024-08-11T14:20:54.347057Z,NoEvent,,
2024-08-11 15:24:14,Booch01,pio02,2024-08-11T14:24:14.344706Z,NoEvent,,
2024-08-11 15:27:34,Booch01,pio02,2024-08-11T14:27:34.346626Z,NoEvent,,
2024-08-11 15:30:54,Booch01,pio02,2024-08-11T14:30:54.345909Z,NoEvent,,
2024-08-11 15:34:14,Booch01,pio02,2024-08-11T14:34:14.366860Z,NoEvent,,
2024-08-11 15:37:34,Booch01,pio02,2024-08-11T14:37:34.346905Z,NoEvent,,
2024-08-11 15:40:54,Booch01,pio02,2024-08-11T14:40:54.344614Z,NoEvent,,
2024-08-11 15:44:14,Booch01,pio02,2024-08-11T14:44:14.346849Z,NoEvent,,
2024-08-11 15:47:34,Booch01,pio02,2024-08-11T14:47:34.347796Z,NoEvent,,
2024-08-11 15:50:54,Booch01,pio02,2024-08-11T14:50:54.347638Z,NoEvent,,
2024-08-11 15:54:14,Booch01,pio02,2024-08-11T14:54:14.345769Z,NoEvent,,
2024-08-11 15:57:34,Booch01,pio02,2024-08-11T14:57:34.349374Z,NoEvent,,
2024-08-11 16:00:54,Booch01,pio02,2024-08-11T15:00:54.347321Z,NoEvent,,
2024-08-11 16:04:14,Booch01,pio02,2024-08-11T15:04:14.366977Z,NoEvent,,
2024-08-11 16:07:34,Booch01,pio02,2024-08-11T15:07:34.347844Z,NoEvent,,
2024-08-11 16:10:54,Booch01,pio02,2024-08-11T15:10:54.345430Z,NoEvent,,
2024-08-11 16:14:14,Booch01,pio02,2024-08-11T15:14:14.347373Z,NoEvent,,
2024-08-11 16:17:34,Booch01,pio02,2024-08-11T15:17:34.347162Z,NoEvent,,
2024-08-11 16:20:54,Booch01,pio02,2024-08-11T15:20:54.347370Z,NoEvent,,
2024-08-11 16:24:14,Booch01,pio02,2024-08-11T15:24:14.345958Z,NoEvent,,
2024-08-11 16:27:34,Booch01,pio02,2024-08-11T15:27:34.347087Z,NoEvent,,
2024-08-11 16:30:54,Booch01,pio02,2024-08-11T15:30:54.347584Z,NoEvent,,
2024-08-11 16:34:14,Booch01,pio02,2024-08-11T15:34:14.366856Z,NoEvent,,
2024-08-11 16:37:34,Booch01,pio02,2024-08-11T15:37:34.347326Z,NoEvent,,
2024-08-11 16:40:54,Booch01,pio02,2024-08-11T15:40:54.346438Z,NoEvent,,
2024-08-11 16:44:14,Booch01,pio02,2024-08-11T15:44:14.347261Z,NoEvent,,
2024-08-11 16:47:34,Booch01,pio02,2024-08-11T15:47:34.346517Z,NoEvent,,
2024-08-11 16:50:54,Booch01,pio02,2024-08-11T15:50:54.350556Z,NoEvent,,
2024-08-11 16:54:14,Booch01,pio02,2024-08-11T15:54:14.350569Z,NoEvent,,
2024-08-11 16:57:34,Booch01,pio02,2024-08-11T15:57:34.346596Z,NoEvent,,
2024-08-11 17:00:54,Booch01,pio02,2024-08-11T16:00:54.345185Z,NoEvent,,
2024-08-11 17:04:14,Booch01,pio02,2024-08-11T16:04:14.366876Z,NoEvent,,
2024-08-11 17:07:34,Booch01,pio02,2024-08-11T16:07:34.346307Z,NoEvent,,
2024-08-11 17:10:54,Booch01,pio02,2024-08-11T16:10:54.344900Z,NoEvent,,
2024-08-11 17:14:14,Booch01,pio02,2024-08-11T16:14:14.346846Z,NoEvent,,
2024-08-11 17:17:34,Booch01,pio02,2024-08-11T16:17:34.347095Z,NoEvent,,
2024-08-11 17:20:54,Booch01,pio02,2024-08-11T16:20:54.344863Z,NoEvent,,
2024-08-11 17:24:14,Booch01,pio02,2024-08-11T16:24:14.343955Z,NoEvent,,
2024-08-11 17:27:34,Booch01,pio02,2024-08-11T16:27:34.346504Z,NoEvent,,
2024-08-11 17:30:54,Booch01,pio02,2024-08-11T16:30:54.348422Z,NoEvent,,
2024-08-11 17:34:14,Booch01,pio02,2024-08-11T16:34:14.375071Z,NoEvent,,
2024-08-11 17:37:34,Booch01,pio02,2024-08-11T16:37:34.348139Z,NoEvent,,
2024-08-11 17:40:54,Booch01,pio02,2024-08-11T16:40:54.346507Z,NoEvent,,
2024-08-11 17:44:14,Booch01,pio02,2024-08-11T16:44:14.345529Z,NoEvent,,
2024-08-11 17:47:34,Booch01,pio02,2024-08-11T16:47:34.345327Z,NoEvent,,
