timestamp_localtime,experiment,pioreactor_unit,timestamp,temperature_c
2024-08-11 07:20:54,Booch01,pio02,2024-08-11T06:20:54.342903Z,21.5
2024-08-11 07:24:14,Booch01,pio02,2024-08-11T06:24:14.342963Z,21.44
2024-08-11 07:27:34,Booch01,pio02,2024-08-11T06:27:34.344291Z,21.4
2024-08-11 07:30:54,Booch01,pio02,2024-08-11T06:30:54.344650Z,21.38
2024-08-11 07:34:14,Booch01,pio02,2024-08-11T06:34:14.342127Z,21.44
2024-08-11 07:37:34,Booch01,pio02,2024-08-11T06:37:34.345921Z,21.41
2024-08-11 07:40:54,Booch01,pio02,2024-08-11T06:40:54.342367Z,21.38
2024-08-11 07:44:14,Booch01,pio02,2024-08-11T06:44:14.344097Z,21.38
2024-08-11 07:47:34,Booch01,pio02,2024-08-11T06:47:34.341926Z,21.31
2024-08-11 07:50:54,Booch01,pio02,2024-08-11T06:50:54.343819Z,21.25
2024-08-11 07:54:14,Booch01,pio02,2024-08-11T06:54:14.344276Z,21.25
2024-08-11 07:57:34,Booch01,pio02,2024-08-11T06:57:34.343982Z,21.21
2024-08-11 08:00:54,Booch01,pio02,2024-08-11T07:00:54.343268Z,21.19
2024-08-11 08:04:14,Booch01,pio02,2024-08-11T07:04:14.343409Z,21.19
2024-08-11 08:07:34,Booch01,pio02,2024-08-11T07:07:34.342734Z,21.12
2024-08-11 08:10:54,Booch01,pio02,2024-08-11T07:10:54.343074Z,21.12
2024-08-11 08:14:14,Booch01,pio02,2024-08-11T07:14:14.344287Z,21.06
2024-08-11 08:17:34,Booch01,pio02,2024-08-11T07:17:34.343432Z,21.06
2024-08-11 08:20:54,Booch01,pio02,2024-08-11T07:20:54.344152Z,21.06
2024-08-11 08:24:14,Booch01,pio02,2024-08-11T07:24:14.344167Z,21.06
2024-08-11 08:27:34,Booch01,pio02,2024-08-11T07:27:34.344458Z,21.0
2024-08-11 08:30:54,Booch01,pio02,2024-08-11T07:30:54.343662Z,21.0
2024-08-11 08:34:14,Booch01,pio02,2024-08-11T07:34:14.342413Z,20.99
2024-08-11 08:37:34,Booch01,pio02,2024-08-11T07:37:34.345613Z,20.94
2024-08-11 08:40:54,Booch01,pio02,2024-08-11T07:40:54.342570Z,20.94
2024-08-11 08:44:14,Booch01,pio02,2024-08-11T07:44:14.342934Z,20.92
